"","Matricula","NC","C"
"1","01-000-0257","0","1"
"2","03-003-0407","1","0"
"3","04-003-1244","5","1"
"4","05-003-2071","0","1"
"5","05-006-2868","2","0"
"6","06-003-0645","0","1"
"7","06-003-0950","1","1"
"8","06-008-0017","0","1"
"9","07-011-0523","0","1"
"10","07-011-0662","1","1"
"11","07-011-0906","1","1"
"12","08-001-0054","0","1"
"13","08-003-1370","0","1"
"14","08-007-0002","0","1"
"15","08-011-1022","0","1"
"16","08-011-1036","0","1"
"17","09-002-0244","0","1"
"18","09-003-0062","0","1"
"19","09-003-0695","0","1"
"20","09-011-0034","0","1"
"21","09-011-0587","0","1"
"22","09-011-0626","0","1"
"23","10-002-0044","0","1"
"24","10-011-0116","1","0"
"25","10-011-0375","0","1"
"26","11-002-0078","0","1"
"27","11-011-0566","1","1"
"28","11-011-0581","0","1"
"29","12-001-0208","1","1"
"30","12-011-0399","0","1"
"31","12-011-0905","2","1"
"32","12-011-0957","1","1"
"33","13-004-0154","1","0"
"34","14-011-0394","0","1"
