"","Matricula","NC","C"
"1","02-001-0200","0","1"
"2","02-001-0209","0","1"
"3","02-002-0344","0","1"
"4","03-003-0407","0","1"
"5","04-003-1244","1","1"
"6","04-003-1658","1","1"
"7","05-006-2868","2","0"
"8","06-003-0645","3","1"
"9","06-003-0950","0","1"
"10","07-009-0003","1","0"
"11","07-010-0012","1","0"
"12","07-011-0523","2","1"
"13","07-011-0539","1","0"
"14","08-003-0842","0","1"
"15","08-003-1348","0","1"
"16","08-003-1370","0","1"
"17","08-007-0002","0","1"
"18","08-011-0043","0","1"
"19","08-011-0116","0","1"
"20","08-011-0632","0","1"
"21","08-011-0928","2","0"
"22","08-011-1022","1","1"
"23","08-011-1036","0","1"
"24","09-002-0168","0","1"
"25","09-002-0244","0","1"
"26","09-003-0062","0","1"
"27","09-008-0005","0","1"
"28","09-011-0034","0","1"
"29","09-011-0587","0","1"
"30","10-003-0139","0","1"
"31","10-011-0375","0","1"
"32","11-002-0078","0","1"
"33","11-003-0102","0","1"
"34","11-004-0109","0","1"
"35","11-008-0004","1","0"
"36","12-001-0208","0","1"
"37","12-011-0037","1","1"
"38","12-011-0905","1","1"
"39","12-011-0957","1","1"
"40","13-003-0582","1","0"
"41","13-004-0154","0","1"
