"","Matricula","NC","C"
"1","05-003-3233","2","0"
"2","05-003-4935","2","0"
"3","08-011-0331","2","1"
"4","08-011-1036","1","0"
"5","09-011-0627","0","1"
"6","10-003-1374","0","1"
"7","10-011-0301","0","1"
"8","10-011-0375","1","0"
"9","10-011-0570","1","1"
"10","11-001-0215","0","1"
"11","11-002-0099","0","1"
"12","11-002-0342","6","0"
"13","12-002-0025","0","1"
"14","13-001-0117","0","1"
"15","13-003-0941","2","0"
"16","13-011-0999","0","1"
"17","14-003-1270","1","0"
"18","14-011-0239","0","1"
"19","14-011-0913","1","0"
"20","15-001-0252","1","0"
"21","15-011-0334","0","1"
"22","15-011-0465","1","0"
"23","16-001-0237","1","1"
"24","16-003-1337","1","0"
"25","17-011-0113","1","0"
"26","17-011-0190","2","0"
"27","18-011-1359","0","1"
"28","21-011-1060","1","0"
