"","Matricula","NC","C"
"1","03-003-0219","2","1"
"2","05-003-1797","0","1"
"3","05-003-1828","0","1"
"4","07-003-0243","0","1"
"5","08-011-0115","0","1"
"6","08-011-0908","2","0"
"7","09-001-0078","2","0"
"8","09-004-0086","0","1"
"9","09-011-0538","0","1"
"10","10-003-0424","0","1"
"11","10-003-1164","0","1"
"12","12-011-0530","1","1"
"13","12-011-0979","1","1"
"14","12-011-1192","0","1"
"15","13-003-1505","0","1"
"16","14-011-0213","0","1"
"17","14-011-0408","0","1"
"18","14-011-0597","1","0"
"19","14-011-1102","0","1"
"20","15-011-0461","0","1"
"21","16-001-0046","1","0"
"22","16-011-0072","0","1"
"23","17-011-0033","0","1"
"24","17-011-0471","1","0"
"25","18-011-0767","0","1"
"26","20-011-0074","0","1"
"27","20-011-0088","0","1"
"28","20-011-0174","0","1"
"29","20-011-0215","0","1"
"30","20-011-0579","0","1"
"31","20-011-0756","0","1"
"32","20-011-0808","0","1"
"33","20-011-0856","0","1"
"34","20-011-0871","1","0"
"35","20-011-0882","1","0"
"36","20-011-1284","0","1"
