"","Matricula","NC","C"
"1","01-000-0257","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","1","0"
"4","02-002-0344","0","1"
"5","03-003-0407","3","0"
"6","04-003-1244","1","1"
"7","04-003-1658","0","1"
"8","05-006-2868","0","1"
"9","06-003-0645","0","1"
"10","06-003-0950","0","1"
"11","06-008-0017","0","1"
"12","07-008-0004","0","1"
"13","07-011-0523","1","1"
"14","08-001-0054","0","1"
"15","08-003-0842","0","1"
"16","08-003-1348","0","1"
"17","08-003-1370","1","1"
"18","08-008-0005","1","0"
"19","08-008-0007","0","1"
"20","08-011-0116","1","1"
"21","08-011-0632","0","1"
"22","08-011-1036","0","1"
"23","09-002-0244","1","1"
"24","09-003-0062","0","1"
"25","09-003-0695","0","1"
"26","09-008-0005","0","1"
"27","09-011-0034","2","1"
"28","09-011-0587","0","1"
"29","09-011-0626","0","1"
"30","10-008-0004","0","1"
"31","10-008-0023","0","1"
"32","10-008-0027","0","1"
"33","10-011-0181","1","0"
"34","10-011-0375","0","1"
"35","11-002-0078","1","0"
"36","11-003-0102","0","1"
"37","11-004-0109","2","1"
"38","11-011-0566","0","1"
"39","12-011-0399","0","1"
"40","12-011-0905","0","1"
"41","12-011-0957","0","1"
"42","13-010-0030","0","1"
"43","14-008-0001","0","1"
"44","16-010-0024","0","1"
