"","Matricula","NC","C"
"1","01-000-0257","0","1"
"2","02-001-0200","0","1"
"3","03-003-0407","1","1"
"4","04-003-1244","0","1"
"5","04-003-1658","2","1"
"6","05-006-2868","1","0"
"7","06-003-0645","0","1"
"8","06-003-0950","3","1"
"9","07-008-0004","0","1"
"10","07-011-0523","4","1"
"11","07-011-0906","0","1"
"12","08-001-0054","0","1"
"13","08-003-0842","1","1"
"14","08-003-1348","0","1"
"15","08-003-1370","0","1"
"16","08-007-0002","0","1"
"17","08-011-0043","0","1"
"18","08-011-0116","0","1"
"19","08-011-0632","0","1"
"20","08-011-1022","0","1"
"21","08-011-1036","0","1"
"22","09-002-0168","1","1"
"23","09-002-0244","0","1"
"24","09-003-0062","0","1"
"25","09-003-0695","1","1"
"26","09-008-0005","1","0"
"27","09-011-0034","0","1"
"28","09-011-0587","0","1"
"29","09-011-0626","0","1"
"30","10-003-0139","0","1"
"31","10-011-0375","1","1"
"32","11-002-0078","0","1"
"33","11-003-0102","0","1"
"34","11-004-0109","0","1"
"35","11-011-0566","0","1"
"36","12-001-0208","0","1"
"37","12-011-0037","0","1"
"38","12-011-0399","0","1"
"39","12-011-0905","0","1"
"40","12-011-0957","0","1"
"41","13-004-0154","0","1"
"42","14-011-0394","0","1"
"43","17-011-0281","1","0"
"44","18-011-0027","0","1"
