"","Matricula","NC","C"
"1","02-001-0064","2","1"
"2","02-001-0200","0","1"
"3","02-002-0344","0","1"
"4","03-002-0488","0","1"
"5","03-003-0219","0","1"
"6","03-003-0550","2","0"
"7","04-003-1135","0","1"
"8","04-003-1244","0","1"
"9","04-003-1529","0","1"
"10","04-003-1658","0","1"
"11","05-003-1828","0","1"
"12","05-003-2071","0","1"
"13","05-003-2140","2","0"
"14","05-003-2635","1","0"
"15","05-003-3233","0","1"
"16","05-005-2853","2","1"
"17","05-005-2855","3","1"
"18","05-005-2856","0","1"
"19","05-005-2858","0","1"
"20","05-005-2864","0","1"
"21","05-005-3324","1","0"
"22","05-005-3325","1","1"
"23","05-005-3346","0","1"
"24","05-005-3348","0","1"
"25","05-005-3388","0","1"
"26","05-005-3389","0","1"
"27","05-005-3390","0","1"
"28","05-006-2843","0","1"
"29","05-006-2850","0","1"
"30","05-006-2852","1","1"
"31","05-006-2860","0","1"
"32","05-006-2868","0","1"
"33","05-006-3355","0","1"
"34","05-006-3358","0","1"
"35","05-006-3359","0","1"
"36","05-006-3375","0","1"
"37","05-007-0001","0","1"
"38","05-007-0002","0","1"
"39","05-007-0006","1","0"
"40","05-007-0010","0","1"
"41","05-007-0018","0","1"
"42","05-008-0002","0","1"
"43","05-008-0005","0","1"
"44","05-008-0006","1","0"
"45","05-008-0010","0","1"
"46","05-008-0011","2","0"
"47","05-008-0013","0","1"
"48","05-008-0015","0","1"
"49","05-009-0001","0","1"
"50","05-009-0005","1","0"
"51","05-009-0006","0","1"
"52","05-009-0007","0","1"
"53","05-009-0009","0","1"
"54","05-009-0011","0","1"
"55","05-009-0012","1","1"
"56","05-009-0013","0","1"
"57","05-009-0014","0","1"
"58","05-009-0017","0","1"
"59","05-009-0018","0","1"
"60","05-009-0019","0","1"
"61","05-009-0021","0","1"
"62","06-003-0645","0","1"
"63","06-003-0950","0","1"
"64","06-003-2649","0","1"
"65","06-005-0004","0","1"
"66","06-005-0006","0","1"
"67","06-006-0003","0","1"
"68","06-007-0003","0","1"
"69","06-008-0003","0","1"
"70","06-008-0004","0","1"
"71","06-008-0005","1","0"
"72","06-008-0006","1","1"
"73","06-008-0007","0","1"
"74","06-008-0011","0","1"
"75","06-008-0013","0","1"
"76","06-008-0015","0","1"
