"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","0","1"
"4","02-002-0344","0","1"
"5","03-002-0488","1","0"
"6","03-003-0219","1","0"
"7","03-003-0550","2","0"
"8","04-003-1135","0","1"
"9","04-003-1244","0","1"
"10","04-003-1529","0","1"
"11","04-003-1658","0","1"
"12","05-003-1828","0","1"
"13","05-003-2071","0","1"
"14","05-003-2140","2","0"
"15","05-003-3233","1","1"
"16","05-005-2853","5","1"
"17","05-005-2855","4","1"
"18","05-005-2856","1","1"
"19","05-005-2858","0","1"
"20","05-005-2864","0","1"
"21","05-005-3324","1","0"
"22","05-005-3325","0","1"
"23","05-005-3346","0","1"
"24","05-005-3348","0","1"
"25","05-005-3388","1","1"
"26","05-005-3389","1","1"
"27","05-005-3390","0","1"
"28","05-006-2843","0","1"
"29","05-006-2850","0","1"
"30","05-006-2852","0","1"
"31","05-006-2860","4","1"
"32","05-006-2868","1","0"
"33","05-006-3355","0","1"
"34","05-006-3358","2","1"
"35","05-006-3359","0","1"
"36","05-006-3375","0","1"
"37","05-007-0001","1","1"
"38","05-007-0002","1","0"
"39","05-007-0006","1","0"
"40","05-007-0010","0","1"
"41","05-007-0018","0","1"
"42","05-008-0002","3","1"
"43","05-008-0005","1","1"
"44","05-008-0006","1","0"
"45","05-008-0010","0","1"
"46","05-008-0011","1","0"
"47","05-008-0013","3","1"
"48","05-008-0015","0","1"
"49","05-009-0001","0","1"
"50","05-009-0005","2","0"
"51","05-009-0006","2","1"
"52","05-009-0007","0","1"
"53","05-009-0009","0","1"
"54","05-009-0011","2","1"
"55","05-009-0012","2","0"
"56","05-009-0013","0","1"
"57","05-009-0014","0","1"
"58","05-009-0017","0","1"
"59","05-009-0018","0","1"
"60","05-009-0019","0","1"
"61","05-009-0021","0","1"
"62","06-003-0645","1","0"
"63","06-003-0950","0","1"
"64","06-003-1850","0","1"
"65","06-003-2649","0","1"
"66","06-005-0004","0","1"
"67","06-005-0006","1","1"
"68","06-006-0003","0","1"
"69","06-008-0003","0","1"
"70","06-008-0004","4","1"
"71","06-008-0005","1","0"
"72","06-008-0006","0","1"
"73","06-008-0007","0","1"
"74","06-008-0011","0","1"
"75","06-008-0013","2","0"
"76","06-008-0015","6","1"
"77","07-006-0001","0","1"
"78","07-006-0003","0","1"
"79","07-006-0004","1","1"
"80","07-006-0005","0","1"
"81","07-006-0006","0","1"
"82","07-006-0007","0","1"
"83","07-007-0004","0","1"
"84","07-008-0001","0","1"
"85","07-008-0003","0","1"
"86","07-008-0005","1","0"
"87","07-008-0010","0","1"
"88","07-008-0011","1","0"
"89","07-008-0014","3","1"
"90","07-008-0015","0","1"
"91","07-009-0001","4","1"
"92","07-009-0003","1","1"
"93","07-010-0002","0","1"
"94","07-010-0003","1","1"
"95","07-010-0008","1","1"
"96","07-010-0009","0","1"
"97","07-010-0011","0","1"
"98","07-010-0016","1","1"
"99","07-010-0018","0","1"
"100","07-010-0019","0","1"
"101","07-010-0020","0","1"
"102","07-010-0021","1","1"
"103","07-010-0022","0","1"
"104","07-010-0023","0","1"
"105","07-010-0025","0","1"
"106","07-011-0085","0","1"
"107","07-011-0214","0","1"
"108","07-011-0375","1","0"
"109","07-011-0521","0","1"
"110","07-011-0523","0","1"
"111","07-011-0539","0","1"
"112","07-011-0662","0","1"
"113","07-011-0906","0","1"
"114","07-011-0923","1","0"
"115","08-003-0842","0","1"
"116","08-005-0013","0","1"
"117","08-006-0001","0","1"
"118","08-006-0003","0","1"
"119","08-006-0005","0","1"
"120","08-006-0006","0","1"
"121","08-006-0007","0","1"
"122","08-006-0008","0","1"
"123","08-006-0009","0","1"
"124","08-006-0011","0","1"
"125","08-007-0002","0","1"
"126","08-008-0001","0","1"
"127","08-008-0002","0","1"
"128","08-008-0003","0","1"
"129","08-008-0004","0","1"
"130","08-008-0006","0","1"
"131","08-008-0008","0","1"
"132","08-008-0009","2","0"
"133","08-008-0010","3","0"
"134","08-008-0011","0","1"
"135","08-008-0012","0","1"
"136","08-008-0014","0","1"
"137","08-009-0001","0","1"
"138","08-009-0002","0","1"
"139","08-009-0004","0","1"
"140","08-009-0008","0","1"
"141","08-009-0011","0","1"
"142","08-009-0016","0","1"
"143","08-009-0017","1","1"
"144","08-009-0018","0","1"
"145","08-009-0019","0","1"
"146","08-009-0020","0","1"
"147","08-009-0023","0","1"
"148","08-009-0024","0","1"
"149","08-009-0025","0","1"
"150","08-009-0026","0","1"
"151","08-011-0052","0","1"
"152","08-011-0062","0","1"
"153","08-011-0331","2","1"
"154","08-011-0532","0","1"
"155","08-011-0908","0","1"
"156","08-011-0928","0","1"
"157","08-011-1022","1","1"
"158","09-002-0168","0","1"
"159","09-002-0244","1","0"
"160","09-003-0062","0","1"
"161","09-005-0001","0","1"
"162","09-005-0003","0","1"
"163","09-006-0001","0","1"
"164","09-006-0002","0","1"
"165","09-006-0004","0","1"
"166","09-007-0001","0","1"
"167","09-008-0005","0","1"
"168","09-008-0007","1","1"
"169","09-008-0008","1","1"
"170","09-008-0011","2","1"
"171","09-008-0012","0","1"
"172","09-008-0013","0","1"
"173","09-008-0014","0","1"
"174","09-008-0020","0","1"
"175","09-008-0021","0","1"
"176","09-008-0027","2","1"
"177","09-008-0029","0","1"
"178","09-009-0001","0","1"
"179","09-010-0001","0","1"
"180","09-010-0005","0","1"
"181","09-010-0009","0","1"
"182","09-010-0013","0","1"
"183","09-010-0021","0","1"
"184","09-010-0026","0","1"
"185","09-010-0028","1","1"
"186","09-011-0034","0","1"
"187","09-011-0242","0","1"
"188","09-011-0587","0","1"
"189","09-011-0627","0","1"
"190","10-002-0044","0","1"
"191","10-003-0424","0","1"
"192","10-003-0840","0","1"
"193","10-003-1048","2","0"
"194","10-003-1164","1","1"
"195","10-003-1374","0","1"
"196","10-005-0001","0","1"
"197","10-005-0002","0","1"
"198","10-005-0004","0","1"
"199","10-005-0005","0","1"
"200","10-005-0008","0","1"
"201","10-005-0010","1","0"
"202","10-005-0013","1","1"
"203","10-005-0015","2","0"
"204","10-005-0019","2","0"
"205","10-005-0020","0","1"
"206","10-005-0021","0","1"
"207","10-008-0001","0","1"
"208","10-008-0003","0","1"
"209","10-008-0008","0","1"
"210","10-008-0010","1","1"
"211","10-008-0014","1","0"
"212","10-008-0015","0","1"
"213","10-008-0018","1","0"
"214","10-008-0020","0","1"
"215","10-008-0021","0","1"
"216","10-008-0025","0","1"
"217","10-008-0026","0","1"
"218","10-008-0033","2","1"
"219","10-008-0034","0","1"
"220","10-008-0035","0","1"
"221","10-008-0037","1","0"
"222","10-009-0007","1","0"
"223","10-009-0010","0","1"
"224","10-009-0014","1","1"
"225","10-009-0019","0","1"
"226","10-009-0025","2","1"
"227","10-009-0029","2","0"
"228","10-009-0030","0","1"
"229","10-009-0031","0","1"
"230","10-009-0032","0","1"
"231","10-010-0003","0","1"
"232","10-011-0116","0","1"
"233","10-011-0137","0","1"
"234","10-011-0270","0","1"
"235","10-011-0301","3","0"
"236","10-011-0316","0","1"
"237","10-011-0350","0","1"
"238","10-011-0531","0","1"
"239","10-011-0570","0","1"
"240","11-001-0089","0","1"
"241","11-002-0059","1","0"
"242","11-002-0068","0","1"
"243","11-002-0078","1","0"
"244","11-002-0082","0","1"
"245","11-002-0199","0","1"
"246","11-002-0342","0","1"
"247","11-003-1070","0","1"
"248","11-004-0099","4","0"
"249","11-005-0002","0","1"
"250","11-005-0003","1","1"
"251","11-005-0004","1","1"
"252","11-005-0005","2","0"
"253","11-005-0011","0","1"
"254","11-005-0012","1","1"
"255","11-006-0001","0","1"
"256","11-007-0001","0","1"
"257","11-008-0003","0","1"
"258","11-008-0005","0","1"
"259","11-008-0006","0","1"
"260","11-010-0004","0","1"
"261","11-010-0007","0","1"
"262","11-010-0011","0","1"
"263","11-010-0016","0","1"
"264","11-010-0017","1","0"
"265","11-010-0018","0","1"
"266","11-010-0019","0","1"
"267","11-010-0021","1","1"
"268","11-010-0023","0","1"
"269","11-010-0024","1","0"
"270","11-010-0029","0","1"
"271","11-010-0030","0","1"
"272","11-011-0378","0","1"
"273","11-011-0581","0","1"
"274","11-011-0678","0","1"
"275","11-011-0762","1","0"
"276","12-001-0069","0","1"
"277","12-001-0208","0","1"
"278","12-003-0277","0","1"
"279","12-003-0782","0","1"
"280","12-003-1635","0","1"
"281","12-003-1684","0","1"
"282","12-004-0084","0","1"
"283","12-004-0115","0","1"
"284","12-005-0001","0","1"
"285","12-006-0001","0","1"
"286","12-008-0002","0","1"
"287","12-008-0008","1","1"
"288","12-008-0010","0","1"
"289","12-008-0013","0","1"
"290","12-008-0016","0","1"
"291","12-008-0019","1","0"
"292","12-008-0023","0","1"
"293","12-008-0025","0","1"
"294","12-008-0026","3","0"
"295","12-008-0028","0","1"
"296","12-009-0002","1","1"
"297","12-009-0006","0","1"
"298","12-009-0007","1","0"
"299","12-009-0008","0","1"
"300","12-009-0012","1","0"
"301","12-009-0015","1","0"
"302","12-009-0019","0","1"
"303","12-009-0020","1","0"
"304","12-009-0026","0","1"
"305","12-009-0027","1","1"
"306","12-011-0037","1","1"
"307","12-011-0092","0","1"
"308","12-011-0147","0","1"
"309","12-011-0175","1","1"
"310","12-011-0180","1","1"
"311","12-011-0776","0","1"
"312","12-011-0861","0","1"
"313","12-011-0905","1","1"
"314","12-011-0957","1","1"
"315","12-011-1009","1","1"
"316","12-011-1192","0","1"
"317","13-001-0109","1","1"
"318","13-001-0265","0","1"
"319","13-003-0256","0","1"
"320","13-003-0582","1","0"
"321","13-003-0882","0","1"
"322","13-003-0941","0","1"
"323","13-003-1054","0","1"
"324","13-003-1374","1","1"
"325","13-003-1505","0","1"
"326","13-003-1577","0","1"
"327","13-004-0021","0","1"
"328","13-004-0154","0","1"
"329","13-005-0002","0","1"
"330","13-005-0003","0","1"
"331","13-005-0004","0","1"
"332","13-005-0013","0","1"
"333","13-005-0015","1","0"
"334","13-005-0017","1","0"
"335","13-005-0018","0","1"
