"","Matricula","NC","C"
"1","02-001-0064","2","1"
"2","02-001-0200","0","1"
"3","02-002-0344","0","1"
"4","03-003-0550","2","0"
"5","04-003-1135","0","1"
"6","04-003-1244","0","1"
"7","05-003-2140","2","0"
"8","05-003-2635","1","0"
"9","06-003-0645","0","1"
"10","07-011-0214","0","1"
"11","07-011-0539","0","1"
"12","08-011-0331","1","1"
"13","09-002-0168","0","1"
"14","09-010-0014","1","0"
"15","10-011-0137","0","1"
"16","11-010-0013","1","0"
"17","11-011-0566","0","1"
"18","13-003-0941","0","1"
"19","13-008-0007","1","0"
"20","13-011-0349","1","0"
"21","13-011-0982","0","1"
"22","14-011-0398","1","1"
"23","14-011-0437","3","0"
"24","14-011-0461","0","1"
"25","15-001-0336","0","1"
"26","15-003-0338","0","1"
