"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","0","1"
"4","03-003-0550","0","1"
"5","04-003-1135","0","1"
"6","04-003-1244","0","1"
"7","04-003-1529","1","0"
"8","05-003-2140","0","1"
"9","06-003-0645","0","1"
"10","07-011-0085","0","1"
"11","07-011-0906","1","1"
"12","08-009-0017","0","1"
"13","09-002-0168","0","1"
"14","09-011-0242","1","0"
"15","10-003-1164","0","1"
"16","10-005-0019","0","1"
"17","10-011-0301","1","0"
"18","10-011-0570","0","1"
"19","11-002-0078","0","1"
"20","11-002-0082","0","1"
"21","11-011-0678","2","0"
"22","12-001-0208","0","1"
"23","12-003-0782","2","0"
"24","12-009-0019","1","0"
"25","12-011-0037","0","1"
"26","12-011-0776","1","0"
"27","13-003-0941","0","1"
"28","13-003-1577","1","0"
"29","13-011-0372","1","0"
"30","13-011-0560","0","1"
"31","13-011-0982","1","0"
"32","14-004-0013","0","1"
"33","14-011-0213","0","1"
"34","14-011-0461","0","1"
"35","14-011-0597","0","1"
"36","14-011-0995","0","1"
"37","14-011-1104","1","0"
"38","15-001-0252","0","1"
"39","15-001-0342","0","1"
"40","15-003-0338","0","1"
