"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","0","1"
"4","03-003-0550","0","1"
"5","04-003-1135","0","1"
"6","04-003-1244","0","1"
"7","04-003-1529","0","1"
"8","05-003-2140","0","1"
"9","05-003-3233","1","1"
"10","06-003-0645","0","1"
"11","07-011-0085","0","1"
"12","07-011-0539","0","1"
"13","08-011-0532","0","1"
"14","08-011-0928","0","1"
"15","09-002-0168","0","1"
"16","09-011-0242","0","1"
"17","10-005-0019","0","1"
"18","10-011-0570","0","1"
"19","11-005-0003","0","1"
"20","11-011-0678","1","0"
"21","12-004-0084","0","1"
"22","12-009-0019","1","0"
"23","12-011-0037","0","1"
"24","13-003-0941","0","1"
"25","13-005-0013","0","1"
"26","13-008-0029","0","1"
"27","13-011-0349","0","1"
"28","13-011-0901","0","1"
"29","14-011-0239","0","1"
"30","14-011-0770","0","1"
"31","14-011-1104","1","0"
"32","15-001-0342","0","1"
