"","Matricula","NC","C"
"1","01-000-0257","0","1"
"2","02-001-0064","0","1"
"3","02-002-0344","1","1"
"4","07-011-0214","1","0"
"5","07-011-0923","0","1"
"6","08-011-0331","2","0"
"7","09-011-0242","1","0"
"8","10-005-0015","1","0"
"9","10-008-0025","0","1"
"10","11-005-0004","1","0"
"11","11-011-0581","5","0"
"12","13-001-0109","2","1"
"13","13-003-1374","0","1"
"14","13-003-1577","3","0"
"15","13-005-0005","1","0"
"16","13-005-0015","1","0"
"17","13-008-0024","3","0"
"18","13-011-0372","2","0"
"19","13-011-0857","3","0"
"20","14-011-0437","1","1"
"21","15-001-0342","0","1"
