"","Matricula","NC","C"
"1","01-000-0257","0","1"
"2","02-001-0064","0","1"
"3","02-001-0200","0","1"
"4","05-003-2635","1","0"
"5","07-011-0214","1","0"
"6","07-011-0923","0","1"
"7","09-010-0014","0","1"
"8","09-010-0021","2","0"
"9","09-011-0299","1","0"
"10","10-003-0424","0","1"
"11","10-005-0003","1","0"
"12","10-005-0013","2","1"
"13","10-005-0019","0","1"
"14","10-011-0570","0","1"
"15","11-010-0013","1","0"
"16","12-008-0028","1","0"
"17","12-009-0019","1","0"
"18","12-009-0027","1","0"
"19","12-011-1009","3","1"
"20","12-011-1477","1","0"
"21","13-001-0109","4","0"
"22","13-003-1374","0","1"
"23","13-004-0021","2","1"
"24","13-005-0003","0","1"
"25","13-005-0013","2","1"
"26","13-008-0005","1","0"
"27","13-008-0007","1","0"
"28","13-011-0372","2","0"
"29","13-011-0857","3","0"
"30","13-011-0975","1","1"
"31","14-011-0398","1","1"
"32","14-011-0461","0","1"
"33","14-011-0713","1","0"
"34","14-011-0904","0","1"
