"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","1","1"
"4","04-003-1135","0","1"
"5","04-003-1244","1","0"
"6","04-003-1529","0","1"
"7","05-002-0012","2","0"
"8","05-003-3233","0","1"
"9","07-010-0022","0","1"
"10","07-011-0085","0","1"
"11","07-011-0539","0","1"
"12","07-011-0923","0","1"
"13","08-009-0025","1","0"
"14","08-011-0532","0","1"
"15","08-011-0908","0","1"
"16","09-002-0168","0","1"
"17","09-008-0017","1","0"
"18","09-010-0021","1","0"
"19","09-011-0242","1","0"
"20","10-003-0424","2","0"
"21","10-003-1164","0","1"
"22","10-005-0013","0","1"
"23","10-005-0019","1","0"
"24","10-008-0008","2","0"
"25","10-008-0015","0","1"
"26","10-008-0034","1","0"
"27","10-009-0014","0","1"
"28","10-011-0316","0","1"
"29","10-011-0570","0","1"
"30","11-004-0099","0","1"
"31","11-005-0003","0","1"
"32","11-011-0581","0","1"
"33","11-011-0678","1","0"
"34","12-004-0084","0","1"
"35","12-008-0026","2","0"
"36","12-008-0028","1","0"
"37","12-009-0019","2","0"
"38","12-009-0026","1","0"
"39","12-009-0027","1","0"
"40","12-011-0175","1","0"
"41","12-011-0180","1","0"
"42","12-011-1009","0","1"
"43","13-001-0109","0","1"
"44","13-003-0941","1","1"
"45","13-005-0013","0","1"
"46","13-008-0003","1","0"
"47","13-008-0016","1","0"
"48","13-008-0029","0","1"
"49","13-008-0032","2","0"
"50","13-010-0014","0","1"
"51","13-010-0030","0","1"
"52","13-011-0742","0","1"
"53","13-011-0975","0","1"
"54","13-011-0982","0","1"
"55","14-002-0186","1","0"
"56","14-003-1270","0","1"
"57","14-010-0002","0","1"
"58","14-011-0398","0","1"
"59","14-011-0408","0","1"
"60","14-011-0437","1","0"
"61","14-011-0770","0","1"
"62","14-011-0904","1","1"
"63","14-011-0976","1","0"
"64","14-011-0995","0","1"
"65","15-001-0342","1","0"
"66","15-002-0070","0","1"
