"","Matricula","NC","C"
"1","02-001-0064","1","1"
"2","02-001-0200","0","1"
"3","02-002-0344","1","0"
"4","04-003-1135","0","1"
"5","04-003-1244","0","1"
"6","04-003-1529","0","1"
"7","05-003-2140","0","1"
"8","07-011-0085","0","1"
"9","07-011-0906","1","0"
"10","08-011-0532","0","1"
"11","09-002-0168","0","1"
"12","10-003-0424","1","0"
"13","10-003-1164","3","1"
"14","10-005-0019","0","1"
"15","10-008-0015","0","1"
"16","10-011-0137","0","1"
"17","11-002-0078","0","1"
"18","11-002-0082","0","1"
"19","11-002-0342","1","0"
"20","11-004-0099","0","1"
"21","11-011-0678","2","0"
"22","12-004-0084","2","0"
"23","13-003-1577","1","0"
"24","13-004-0021","1","0"
"25","13-005-0013","0","1"
"26","13-008-0029","0","1"
"27","13-011-0560","1","0"
"28","13-011-0731","0","1"
"29","13-011-0857","2","1"
"30","13-011-0901","1","1"
"31","13-011-0982","1","0"
"32","14-011-0086","1","1"
"33","14-011-0275","0","1"
"34","14-011-0482","2","0"
"35","14-011-0597","1","0"
"36","14-011-0995","0","1"
"37","14-011-1104","1","0"
"38","14-011-1109","0","1"
