"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","0","1"
"4","03-003-0219","1","0"
"5","03-003-0550","1","0"
"6","04-003-1135","0","1"
"7","04-003-1244","0","1"
"8","05-003-2140","0","1"
"9","06-003-0645","0","1"
"10","07-011-0085","0","1"
"11","07-011-0906","0","1"
"12","08-011-0532","0","1"
"13","08-011-0928","0","1"
"14","09-002-0168","0","1"
"15","10-003-1164","0","1"
"16","10-005-0019","0","1"
"17","11-002-0078","0","1"
"18","11-011-0678","0","1"
"19","12-001-0208","0","1"
"20","12-009-0019","1","0"
"21","12-011-0175","1","1"
"22","12-011-0180","0","1"
"23","12-011-0905","1","0"
"24","13-003-0882","0","1"
"25","13-003-1054","0","1"
"26","13-011-0289","3","0"
"27","13-011-0857","1","0"
"28","13-011-0901","0","1"
"29","14-004-0013","0","1"
"30","14-011-0192","0","1"
"31","14-011-0213","0","1"
"32","14-011-0461","0","1"
"33","14-011-0503","0","1"
"34","14-011-1146","1","1"
"35","15-003-0338","1","1"
