"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","0","1"
"4","04-003-1135","0","1"
"5","04-003-1244","0","1"
"6","06-003-0645","0","1"
"7","06-003-1850","0","1"
"8","07-011-0085","0","1"
"9","08-011-0532","0","1"
"10","10-005-0015","1","0"
"11","10-005-0019","0","1"
"12","10-011-0137","0","1"
"13","11-002-0078","0","1"
"14","11-002-0082","0","1"
"15","11-011-0566","0","1"
"16","12-001-0208","0","1"
"17","12-011-0037","0","1"
"18","12-011-0776","1","0"
"19","13-011-0857","0","1"
"20","13-011-0901","0","1"
"21","14-004-0013","0","1"
"22","15-003-0338","1","0"
