"","Matricula","NC","C"
"1","02-001-0064","1","1"
"2","02-001-0200","0","1"
"3","02-001-0209","0","1"
"4","04-003-1135","0","1"
"5","04-003-1244","0","1"
"6","05-005-3325","1","0"
"7","05-006-2844","1","0"
"8","06-003-1850","0","1"
"9","07-011-0085","0","1"
"10","07-011-0375","0","1"
"11","07-011-0923","1","0"
"12","08-011-0331","0","1"
"13","08-011-0532","0","1"
"14","08-011-0928","0","1"
"15","10-003-1164","1","0"
"16","10-005-0015","1","1"
"17","10-008-0010","2","0"
"18","11-002-0078","0","1"
"19","11-002-0082","0","1"
"20","11-004-0099","1","0"
"21","11-005-0004","1","1"
"22","11-005-0011","1","0"
"23","11-011-0678","0","1"
"24","12-003-1259","1","0"
"25","12-006-0001","0","1"
"26","12-008-0001","1","0"
"27","12-009-0030","0","1"
"28","12-011-0175","0","1"
"29","12-011-0180","0","1"
"30","13-001-0053","0","1"
"31","13-003-1577","1","1"
"32","13-004-0021","0","1"
"33","13-005-0005","1","0"
"34","13-005-0015","1","1"
"35","13-005-0020","1","0"
"36","13-006-0004","2","0"
"37","13-011-0349","1","0"
"38","13-011-0877","0","1"
"39","14-003-0122","1","0"
"40","14-004-0013","0","1"
"41","14-011-0437","2","0"
"42","14-011-0461","0","1"
"43","14-011-0503","1","0"
"44","14-011-0713","0","1"
"45","14-011-0938","0","1"
"46","14-011-1104","1","1"
"47","14-011-1105","0","1"
"48","15-001-0252","1","1"
"49","15-001-0336","0","1"
"50","15-003-0338","2","0"
