"","Matricula","NC","C"
"1","01-000-0257","1","0"
"2","02-001-0064","0","1"
"3","02-001-0200","0","1"
"4","02-001-0209","0","1"
"5","03-003-0550","0","1"
"6","04-003-1135","0","1"
"7","04-003-1244","0","1"
"8","04-003-1529","0","1"
"9","05-002-0012","1","0"
"10","05-003-2140","0","1"
"11","05-003-3233","0","1"
"12","06-003-0645","0","1"
"13","06-008-0017","1","0"
"14","07-011-0085","0","1"
"15","07-011-0539","0","1"
"16","07-011-0906","1","0"
"17","07-011-0923","0","1"
"18","08-011-0532","0","1"
"19","08-011-0928","0","1"
"20","09-011-0242","0","1"
"21","10-003-1164","1","1"
"22","10-005-0019","0","1"
"23","10-011-0316","0","1"
"24","10-011-0570","0","1"
"25","11-004-0099","0","1"
"26","11-005-0003","0","1"
"27","11-011-0678","1","0"
"28","12-003-1259","0","1"
"29","12-004-0084","0","1"
"30","12-011-1009","0","1"
"31","13-001-0109","3","0"
"32","13-003-0882","1","0"
"33","13-003-0941","1","1"
"34","13-003-1577","1","1"
"35","13-004-0021","0","1"
"36","13-005-0013","1","0"
"37","13-008-0003","1","0"
"38","13-008-0016","1","0"
"39","13-008-0027","0","1"
"40","13-008-0032","1","0"
"41","13-010-0014","0","1"
"42","13-010-0030","0","1"
"43","13-011-0349","0","1"
"44","13-011-0560","1","0"
"45","13-011-0975","0","1"
"46","13-011-0982","0","1"
"47","14-003-0380","1","0"
"48","14-003-1270","0","1"
"49","14-003-1498","0","1"
"50","14-011-0398","0","1"
"51","14-011-0408","1","1"
"52","14-011-0482","2","0"
"53","14-011-0770","0","1"
"54","14-011-0904","3","1"
"55","14-011-0995","0","1"
"56","14-011-1104","1","0"
"57","15-001-0252","1","0"
"58","15-001-0342","0","1"
"59","15-003-0338","1","0"
