"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","03-003-0550","1","1"
"4","04-003-1244","0","1"
"5","05-002-0012","2","0"
"6","05-003-2140","1","1"
"7","05-003-3233","0","1"
"8","06-003-0645","0","1"
"9","07-011-0539","1","1"
"10","07-011-0923","0","1"
"11","08-011-0532","0","1"
"12","09-010-0028","1","0"
"13","09-011-0242","0","1"
"14","10-003-1164","0","1"
"15","10-005-0019","0","1"
"16","10-008-0034","1","0"
"17","10-011-0316","1","1"
"18","11-005-0003","0","1"
"19","11-011-0678","3","0"
"20","12-008-0002","0","1"
"21","12-008-0026","1","1"
"22","12-008-0028","2","0"
"23","12-009-0019","1","0"
"24","12-011-0037","0","1"
"25","12-011-1009","0","1"
"26","13-008-0003","1","1"
"27","13-008-0016","2","0"
"28","13-008-0027","1","0"
"29","13-008-0029","0","1"
"30","13-008-0032","1","0"
"31","13-010-0014","1","0"
"32","13-011-0742","0","1"
"33","14-003-0380","1","0"
"34","14-004-0013","0","1"
"35","14-011-0297","0","1"
"36","14-011-0408","1","1"
"37","14-011-0503","1","0"
"38","14-011-0597","1","0"
"39","14-011-0770","0","1"
"40","14-011-0904","0","1"
"41","14-011-0995","0","1"
"42","14-011-1146","0","1"
"43","15-002-0070","1","1"
"44","15-003-0338","1","1"
