"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","04-003-1244","0","1"
"3","05-002-0012","1","0"
"4","05-003-3233","0","1"
"5","06-003-0645","0","1"
"6","07-010-0022","0","1"
"7","07-011-0539","1","0"
"8","08-011-0532","0","1"
"9","09-001-0077","1","1"
"10","09-008-0017","0","1"
"11","09-011-0242","0","1"
"12","10-003-0424","0","1"
"13","10-003-1164","0","1"
"14","10-011-0316","0","1"
"15","11-005-0003","0","1"
"16","11-011-0678","1","0"
"17","12-008-0002","0","1"
"18","12-008-0026","0","1"
"19","12-011-0037","0","1"
"20","12-011-0175","1","1"
"21","12-011-0180","1","1"
"22","12-011-1009","0","1"
"23","13-001-0109","0","1"
"24","13-003-0941","0","1"
"25","13-005-0004","0","1"
"26","13-008-0003","1","0"
"27","13-008-0029","0","1"
"28","13-010-0030","1","0"
"29","13-011-0742","0","1"
"30","13-011-0877","0","1"
"31","13-011-0901","0","1"
"32","13-011-0982","0","1"
"33","14-003-0380","1","0"
"34","14-011-0408","0","1"
"35","14-011-0503","0","1"
"36","14-011-0770","0","1"
"37","14-011-0904","0","1"
"38","14-011-0995","0","1"
"39","14-011-1146","0","1"
"40","15-001-0252","0","1"
"41","15-001-0342","0","1"
"42","15-002-0070","0","1"
