"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","2","1"
"3","02-001-0209","2","0"
"4","04-003-1135","0","1"
"5","04-003-1244","1","0"
"6","04-003-1529","2","0"
"7","05-002-0012","1","0"
"8","05-003-3233","0","1"
"9","05-005-2855","0","1"
"10","05-005-3325","1","0"
"11","06-003-0645","0","1"
"12","07-011-0085","0","1"
"13","07-011-0539","0","1"
"14","07-011-0923","1","1"
"15","08-009-0017","0","1"
"16","08-011-0532","0","1"
"17","08-011-0908","2","0"
"18","09-002-0168","1","0"
"19","09-010-0021","0","1"
"20","09-011-0242","0","1"
"21","10-003-0424","2","0"
"22","10-003-1164","1","1"
"23","10-005-0013","0","1"
"24","10-005-0015","1","0"
"25","10-005-0019","1","0"
"26","10-009-0014","0","1"
"27","10-011-0316","0","1"
"28","10-011-0570","0","1"
"29","11-002-0199","0","1"
"30","11-005-0003","0","1"
"31","11-005-0004","1","1"
"32","11-005-0005","0","1"
"33","11-011-0581","1","0"
"34","11-011-0678","0","1"
"35","12-003-1259","1","0"
"36","12-004-0084","1","1"
"37","12-008-0002","1","0"
"38","12-008-0026","1","0"
"39","12-009-0019","1","0"
"40","12-009-0026","0","1"
"41","12-009-0027","1","0"
"42","12-011-0037","1","1"
"43","12-011-0092","0","1"
"44","12-011-0175","1","0"
"45","12-011-0180","1","0"
"46","12-011-1009","0","1"
"47","13-003-1577","2","0"
"48","13-004-0021","0","1"
"49","13-005-0004","1","0"
"50","13-005-0013","0","1"
"51","13-005-0015","1","0"
"52","13-005-0020","0","1"
"53","13-008-0029","0","1"
"54","13-010-0011","0","1"
"55","13-010-0014","0","1"
"56","13-010-0017","1","1"
"57","13-010-0030","0","1"
"58","13-011-0742","1","1"
"59","13-011-0975","0","1"
"60","13-011-0982","0","1"
"61","14-003-0380","0","1"
"62","14-003-1270","0","1"
"63","14-011-0293","0","1"
"64","14-011-0297","0","1"
"65","14-011-0408","0","1"
"66","14-011-0461","0","1"
"67","14-011-0597","2","0"
"68","14-011-0713","1","0"
"69","14-011-0770","1","1"
"70","14-011-0904","1","1"
"71","14-011-0938","0","1"
"72","14-011-0995","0","1"
"73","14-011-1109","0","1"
"74","14-011-1146","2","1"
"75","15-001-0252","0","1"
"76","15-001-0342","0","1"
"77","15-002-0070","0","1"
