"","Matricula","NC","C"
"1","01-000-0257","1","0"
"2","02-001-0064","1","1"
"3","02-001-0200","0","1"
"4","02-001-0209","0","1"
"5","03-003-0550","0","1"
"6","04-003-1135","0","1"
"7","04-003-1244","0","1"
"8","05-003-2140","0","1"
"9","05-003-3233","0","1"
"10","06-003-0645","0","1"
"11","07-011-0085","0","1"
"12","07-011-0539","0","1"
"13","08-011-0532","0","1"
"14","09-010-0021","0","1"
"15","09-011-0242","0","1"
"16","10-011-0570","0","1"
"17","11-002-0078","0","1"
"18","11-005-0003","0","1"
"19","12-003-1259","0","1"
"20","12-008-0002","0","1"
"21","12-008-0020","1","0"
"22","12-008-0026","0","1"
"23","12-011-1192","1","0"
"24","13-003-0882","1","0"
"25","13-003-0941","0","1"
"26","13-010-0014","2","0"
"27","13-011-0349","0","1"
"28","13-011-0857","0","1"
"29","13-011-0901","0","1"
"30","13-011-0982","0","1"
"31","14-004-0013","0","1"
"32","14-010-0002","0","1"
"33","14-011-0137","1","0"
"34","14-011-0482","2","0"
"35","14-011-0537","0","1"
"36","14-011-0770","0","1"
"37","14-011-1104","1","0"
"38","14-011-1146","0","1"
"39","15-001-0252","0","1"
"40","15-001-0342","0","1"
"41","15-003-0338","1","1"
