"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","03-003-0219","1","0"
"3","05-002-0012","0","1"
"4","05-003-2635","1","0"
"5","06-003-1850","1","0"
"6","08-011-0908","0","1"
"7","09-010-0014","1","0"
"8","10-003-0424","1","0"
"9","10-008-0008","1","0"
"10","10-008-0034","0","1"
"11","11-005-0003","0","1"
"12","11-005-0004","0","1"
"13","12-009-0026","0","1"
"14","12-009-0030","0","1"
"15","12-011-0175","1","0"
"16","12-011-0180","1","0"
"17","12-011-1192","1","0"
"18","12-011-1477","1","0"
"19","13-003-1374","0","1"
"20","13-005-0015","1","0"
"21","13-006-0004","1","0"
"22","13-008-0024","1","0"
"23","13-011-0370","1","1"
"24","14-003-1498","0","1"
"25","14-011-0104","1","1"
"26","14-011-0437","1","0"
