"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","03-003-0219","0","1"
"4","03-003-0550","1","0"
"5","06-003-1850","0","1"
"6","07-011-0539","0","1"
"7","07-011-0906","0","1"
"8","07-011-0923","0","1"
"9","08-011-0524","1","0"
"10","08-011-0908","0","1"
"11","10-005-0019","0","1"
"12","10-008-0025","0","1"
"13","11-011-0581","1","1"
"14","11-011-0678","1","0"
"15","12-011-0175","1","0"
"16","12-011-0180","1","0"
"17","13-001-0053","0","1"
"18","13-003-1374","0","1"
"19","13-011-0289","0","1"
"20","13-011-0370","2","0"
"21","13-011-0372","1","0"
"22","13-011-0427","1","0"
"23","14-003-1498","0","1"
"24","14-011-0104","0","1"
"25","14-011-0130","1","0"
"26","14-011-0137","0","1"
"27","14-011-0408","0","1"
"28","14-011-0482","1","0"
"29","14-011-0770","0","1"
"30","14-011-0790","0","1"
"31","15-001-0252","0","1"
"32","15-001-0342","0","1"
