"","Matricula","NC","C"
"1","09-011-0242","0","1"
"2","10-003-1164","0","1"
"3","10-008-0015","0","1"
"4","10-008-0025","0","1"
"5","11-005-0004","1","0"
"6","11-011-0581","2","1"
"7","12-011-0175","0","1"
"8","12-011-0180","0","1"
"9","12-011-1009","1","1"
"10","13-008-0024","2","0"
"11","13-008-0029","0","1"
"12","13-011-0372","0","1"
"13","13-011-0877","0","1"
"14","14-003-1270","0","1"
"15","14-011-0408","1","1"
"16","14-011-0461","1","0"
"17","14-011-1146","2","1"
"18","15-001-0252","1","0"
