"","Matricula","NC","C"
"1","01-000-0257","0","1"
"2","02-001-0064","0","1"
"3","02-002-0344","3","1"
"4","05-002-0012","1","0"
"5","05-003-2140","1","0"
"6","05-003-2635","1","0"
"7","07-011-0923","1","1"
"8","08-011-0331","2","1"
"9","09-010-0014","1","1"
"10","09-010-0021","0","1"
"11","11-010-0013","1","0"
"12","12-008-0020","1","0"
"13","12-009-0019","1","0"
"14","12-009-0027","2","0"
"15","12-011-1477","1","0"
"16","13-003-1054","0","1"
"17","13-003-1374","0","1"
"18","13-004-0021","0","1"
"19","13-005-0004","0","1"
"20","13-005-0013","1","1"
"21","13-008-0005","1","0"
"22","13-008-0007","1","0"
"23","13-011-0857","1","0"
"24","13-011-0877","0","1"
"25","14-010-0002","0","1"
"26","14-011-0086","1","1"
"27","14-011-0297","1","1"
"28","14-011-0398","0","1"
"29","14-011-0437","2","0"
"30","14-011-0482","1","0"
"31","14-011-1146","0","1"
