"","Matricula","NC","C"
"1","02-001-0064","2","1"
"2","02-001-0200","0","1"
"3","02-001-0209","4","0"
"4","03-003-0550","0","1"
"5","04-003-1135","0","1"
"6","04-003-1244","0","1"
"7","05-003-3233","0","1"
"8","06-003-0645","0","1"
"9","06-003-1850","0","1"
"10","07-010-0009","0","1"
"11","07-011-0085","0","1"
"12","07-011-0539","0","1"
"13","07-011-0923","0","1"
"14","08-011-0928","0","1"
"15","09-010-0021","2","0"
"16","09-011-0242","0","1"
"17","09-011-0299","1","0"
"18","10-003-1048","0","1"
"19","10-003-1164","0","1"
"20","10-005-0019","0","1"
"21","10-008-0008","1","0"
"22","12-001-0208","0","1"
"23","12-003-1259","1","0"
"24","12-008-0002","1","0"
"25","12-008-0026","1","0"
"26","12-008-0028","2","0"
"27","12-011-0175","0","1"
"28","12-011-0180","0","1"
"29","13-003-0882","1","0"
"30","13-008-0016","1","0"
"31","13-008-0029","0","1"
"32","13-011-0237","0","1"
"33","13-011-0289","0","1"
"34","13-011-0742","0","1"
"35","13-011-0857","2","0"
"36","13-011-0877","0","1"
"37","14-003-1270","0","1"
"38","14-004-0013","0","1"
"39","14-010-0002","0","1"
"40","14-011-0137","1","0"
"41","14-011-0314","1","0"
"42","14-011-0398","0","1"
"43","14-011-0437","1","1"
"44","14-011-0597","1","1"
"45","14-011-0713","0","1"
"46","14-011-0770","0","1"
"47","14-011-1105","0","1"
"48","14-011-1146","0","1"
"49","15-001-0252","0","1"
"50","15-001-0342","0","1"
"51","15-003-0338","2","0"
