"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","2","1"
"3","02-001-0209","0","1"
"4","02-002-0344","0","1"
"5","04-003-1135","0","1"
"6","04-003-1244","3","0"
"7","05-003-2635","1","0"
"8","05-005-2855","0","1"
"9","06-003-0645","1","0"
"10","07-011-0214","0","1"
"11","09-002-0168","0","1"
"12","09-010-0014","1","0"
"13","09-010-0021","0","1"
"14","10-005-0015","1","0"
"15","10-005-0019","2","0"
"16","10-009-0014","0","1"
"17","10-011-0137","0","1"
"18","11-002-0078","0","1"
"19","11-002-0082","0","1"
"20","11-010-0013","1","0"
"21","11-011-0566","0","1"
"22","12-003-1259","1","1"
"23","12-011-0175","1","1"
"24","12-011-0180","0","1"
"25","12-011-0776","0","1"
"26","13-001-0053","0","1"
"27","13-003-0882","1","0"
"28","13-003-0941","1","1"
"29","13-005-0013","2","1"
"30","13-008-0007","1","0"
"31","13-011-0349","0","1"
"32","14-003-0380","1","0"
"33","14-011-0297","0","1"
"34","14-011-0313","0","1"
"35","14-011-0398","0","1"
"36","14-011-0482","2","0"
"37","14-011-1142","1","0"
"38","15-001-0336","0","1"
"39","15-001-0342","0","1"
"40","15-003-0338","2","1"
