"","Matricula","NC","C"
"1","01-000-0257","0","1"
"2","02-001-0200","1","1"
"3","02-001-0209","3","1"
"4","02-002-0344","1","1"
"5","07-011-0923","0","1"
"6","08-009-0017","1","0"
"7","09-010-0014","1","0"
"8","09-011-0242","1","0"
"9","10-003-1164","0","1"
"10","10-011-0316","0","1"
"11","11-011-0581","1","0"
"12","12-011-1477","1","0"
"13","13-001-0053","2","0"
"14","13-003-0882","1","0"
"15","13-004-0021","1","1"
"16","14-003-0321","0","1"
"17","14-003-1270","0","1"
"18","14-011-0130","1","0"
"19","14-011-0213","0","1"
"20","14-011-0398","0","1"
"21","14-011-0461","0","1"
"22","14-011-0597","2","0"
"23","14-011-0904","1","1"
"24","14-011-1105","0","1"
"25","14-011-1146","0","1"
"26","15-003-0338","1","0"
