"","Matricula","NC","C"
"1","02-001-0064","1","1"
"2","07-011-0539","0","1"
"3","10-003-0424","1","0"
"4","11-002-0199","1","1"
"5","11-002-0342","0","1"
"6","11-011-0581","0","1"
"7","12-011-0092","0","1"
"8","12-011-0175","1","0"
"9","12-011-0180","1","0"
"10","13-001-0109","3","0"
"11","13-003-0882","3","0"
"12","13-003-1374","0","1"
"13","13-004-0021","0","1"
"14","13-011-0160","0","1"
"15","13-011-0742","0","1"
"16","13-011-0794","0","1"
"17","14-011-0130","1","0"
"18","14-011-0461","0","1"
"19","14-011-0537","0","1"
"20","15-001-0252","0","1"
"21","15-001-0336","1","1"
"22","15-001-0342","0","1"
"23","15-002-0070","0","1"
"24","15-003-0338","2","1"
