"","Matricula","NC","C"
"1","01-000-0257","0","1"
"2","02-001-0064","0","1"
"3","02-001-0209","2","1"
"4","05-003-3233","0","1"
"5","06-003-0645","0","1"
"6","06-003-1850","0","1"
"7","07-011-0214","1","0"
"8","07-011-0923","0","1"
"9","10-005-0019","1","0"
"10","10-011-0570","0","1"
"11","11-002-0342","5","1"
"12","11-010-0019","0","1"
"13","11-011-0678","1","0"
"14","12-008-0028","1","0"
"15","12-011-1009","0","1"
"16","12-011-1477","1","0"
"17","13-003-1054","5","0"
"18","13-003-1374","0","1"
"19","13-008-0007","1","0"
"20","13-011-0237","0","1"
"21","13-011-0794","1","1"
"22","13-011-0857","1","0"
"23","13-011-0877","1","1"
"24","13-011-0975","1","0"
"25","14-003-0380","1","0"
"26","14-010-0002","0","1"
"27","14-011-0213","0","1"
"28","14-011-0239","0","1"
"29","14-011-0398","1","1"
"30","14-011-0461","0","1"
"31","14-011-0482","2","0"
"32","14-011-0612","0","1"
"33","14-011-0770","1","1"
"34","14-011-0904","1","1"
"35","14-011-0938","2","1"
"36","15-001-0252","1","0"
"37","15-003-0338","1","0"
