"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","0","1"
"4","04-003-1529","0","1"
"5","05-003-3233","0","1"
"6","06-003-0645","0","1"
"7","07-010-0022","1","0"
"8","07-011-0085","0","1"
"9","07-011-0539","0","1"
"10","07-011-0923","0","1"
"11","08-011-0331","1","0"
"12","08-011-0532","0","1"
"13","08-011-0928","0","1"
"14","09-002-0168","0","1"
"15","09-008-0020","1","0"
"16","09-010-0021","1","0"
"17","09-011-0242","1","0"
"18","10-005-0013","0","1"
"19","10-005-0019","0","1"
"20","10-011-0570","0","1"
"21","11-005-0003","0","1"
"22","11-011-0581","1","0"
"23","12-001-0208","0","1"
"24","12-004-0084","0","1"
"25","12-011-0092","2","0"
"26","13-005-0013","0","1"
"27","13-011-0289","1","0"
"28","13-011-0877","1","1"
"29","13-011-0982","0","1"
"30","14-011-0461","0","1"
"31","14-011-0503","0","1"
"32","14-011-1104","1","0"
