"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","1","1"
"4","04-003-1135","0","1"
"5","04-003-1529","0","1"
"6","05-002-0012","1","0"
"7","05-003-3233","0","1"
"8","06-003-0645","1","1"
"9","07-011-0085","0","1"
"10","07-011-0539","0","1"
"11","07-011-0923","0","1"
"12","08-011-0532","0","1"
"13","08-011-0908","0","1"
"14","09-002-0168","0","1"
"15","09-011-0242","0","1"
"16","10-003-1164","0","1"
"17","10-005-0019","0","1"
"18","10-009-0014","0","1"
"19","10-011-0316","0","1"
"20","10-011-0570","0","1"
"21","11-004-0099","0","1"
"22","11-005-0003","0","1"
"23","11-011-0678","1","0"
"24","12-003-1259","0","1"
"25","12-004-0084","0","1"
"26","12-008-0002","1","0"
"27","12-008-0026","0","1"
"28","12-009-0019","1","0"
"29","12-009-0027","1","0"
"30","12-011-0037","0","1"
"31","12-011-1009","0","1"
"32","13-003-0941","0","1"
"33","13-008-0029","0","1"
"34","13-010-0030","2","0"
"35","13-011-0349","0","1"
"36","13-011-0742","0","1"
"37","13-011-0901","0","1"
"38","13-011-0975","0","1"
"39","14-003-0380","0","1"
"40","14-003-1270","0","1"
"41","14-011-0408","0","1"
"42","14-011-0597","0","1"
"43","14-011-0770","1","1"
"44","14-011-0904","0","1"
"45","15-001-0252","0","1"
"46","15-001-0342","1","1"
"47","15-002-0070","0","1"
"48","15-003-0338","0","1"
