"","Matricula","NC","C"
"1","02-001-0064","1","1"
"2","02-001-0200","0","1"
"3","02-001-0209","0","1"
"4","04-003-1135","0","1"
"5","04-003-1244","0","1"
"6","05-005-3325","1","0"
"7","05-006-2844","1","0"
"8","06-003-0645","1","1"
"9","07-011-0085","0","1"
"10","07-011-0923","0","1"
"11","08-011-0532","0","1"
"12","09-011-0242","0","1"
"13","10-003-1164","1","0"
"14","10-005-0013","0","1"
"15","10-005-0015","2","0"
"16","10-005-0019","0","1"
"17","10-008-0010","3","0"
"18","11-002-0078","0","1"
"19","11-005-0004","1","1"
"20","11-005-0005","1","0"
"21","11-005-0011","1","0"
"22","11-011-0566","1","0"
"23","12-003-1259","1","0"
"24","12-006-0001","1","1"
"25","12-008-0001","1","0"
"26","12-009-0030","0","1"
"27","12-011-0175","0","1"
"28","12-011-0180","0","1"
"29","13-003-0882","1","0"
"30","13-005-0005","1","0"
"31","13-005-0013","0","1"
"32","13-005-0015","2","0"
"33","13-005-0020","1","0"
"34","13-006-0004","2","0"
"35","14-003-0122","1","0"
"36","14-011-0597","1","1"
"37","14-011-1104","1","0"
"38","15-001-0336","0","1"
"39","15-003-0338","0","1"
