"","Matricula","NC","C"
"1","02-001-0064","1","1"
"2","02-001-0209","1","0"
"3","05-003-3233","0","1"
"4","06-003-0645","0","1"
"5","07-010-0022","0","1"
"6","07-011-0539","0","1"
"7","08-011-0908","0","1"
"8","09-006-0002","0","1"
"9","09-010-0028","1","0"
"10","09-011-0242","1","0"
"11","10-003-1164","1","1"
"12","10-005-0013","0","1"
"13","10-008-0008","1","0"
"14","10-009-0014","1","1"
"15","10-011-0316","0","1"
"16","11-004-0099","2","1"
"17","11-005-0003","0","1"
"18","11-011-0581","0","1"
"19","12-003-1259","1","0"
"20","12-008-0026","1","0"
"21","12-011-0037","0","1"
"22","12-011-0092","1","0"
"23","12-011-0175","0","1"
"24","12-011-0180","0","1"
"25","12-011-1009","0","1"
"26","12-011-1192","0","1"
"27","13-001-0109","0","1"
"28","13-005-0013","1","1"
"29","13-008-0003","0","1"
"30","13-008-0011","0","1"
"31","13-008-0029","0","1"
"32","13-010-0014","1","1"
"33","13-010-0030","1","0"
"34","13-011-0372","1","0"
"35","13-011-0731","0","1"
"36","13-011-0742","0","1"
"37","13-011-0794","0","1"
"38","13-011-0877","2","1"
"39","13-011-0982","0","1"
"40","14-002-0186","1","0"
"41","14-003-0321","0","1"
"42","14-003-0380","1","1"
"43","14-003-1270","0","1"
"44","14-010-0002","0","1"
"45","14-011-0075","0","1"
"46","14-011-0086","0","1"
"47","14-011-0293","0","1"
"48","14-011-0297","0","1"
"49","14-011-0314","1","0"
"50","14-011-0398","0","1"
"51","14-011-0408","0","1"
"52","14-011-0437","1","0"
"53","14-011-0482","0","1"
"54","14-011-0503","0","1"
"55","14-011-0597","1","0"
"56","14-011-0602","0","1"
"57","14-011-0612","0","1"
"58","14-011-0770","0","1"
"59","14-011-0868","0","1"
"60","14-011-0904","0","1"
"61","14-011-0976","0","1"
"62","14-011-0995","0","1"
"63","14-011-1146","1","1"
"64","15-001-0342","0","1"
"65","15-002-0070","0","1"
"66","15-002-0289","0","1"
