"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","0","1"
"4","05-002-0012","1","0"
"5","05-003-3233","0","1"
"6","05-006-2844","1","0"
"7","06-003-0645","0","1"
"8","07-010-0022","0","1"
"9","07-011-0539","0","1"
"10","07-011-0923","1","0"
"11","08-009-0017","2","0"
"12","08-011-0908","0","1"
"13","09-001-0077","0","1"
"14","09-008-0017","1","0"
"15","09-008-0020","1","0"
"16","09-010-0021","1","0"
"17","09-010-0028","1","0"
"18","09-011-0242","0","1"
"19","10-003-1164","0","1"
"20","10-005-0003","1","0"
"21","10-005-0010","1","0"
"22","10-005-0015","1","0"
"23","10-008-0010","0","1"
"24","10-011-0316","0","1"
"25","11-004-0099","1","1"
"26","11-005-0003","0","1"
"27","12-006-0001","0","1"
"28","12-008-0026","1","0"
"29","12-008-0028","1","0"
"30","12-009-0019","1","0"
"31","12-011-1009","0","1"
"32","13-005-0015","1","0"
"33","13-006-0003","1","0"
"34","13-008-0003","1","0"
"35","13-008-0016","1","0"
"36","13-008-0027","1","0"
"37","13-008-0029","0","1"
"38","13-008-0032","1","0"
"39","13-010-0017","0","1"
"40","13-010-0030","0","1"
"41","13-011-0742","0","1"
"42","14-003-0380","2","0"
"43","14-003-1270","0","1"
"44","14-011-0398","3","1"
"45","14-011-0408","0","1"
"46","14-011-0770","0","1"
"47","14-011-0790","2","1"
"48","14-011-0904","1","1"
"49","14-011-0995","0","1"
