"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","0","1"
"4","04-003-1135","0","1"
"5","04-003-1244","0","1"
"6","05-005-2855","1","0"
"7","05-005-3325","2","0"
"8","05-006-2844","2","0"
"9","07-011-0085","0","1"
"10","07-011-0375","0","1"
"11","07-011-0906","1","0"
"12","07-011-0923","0","1"
"13","10-005-0013","0","1"
"14","10-005-0015","2","0"
"15","10-005-0019","0","1"
"16","10-008-0010","0","1"
"17","10-008-0025","1","0"
"18","11-002-0078","0","1"
"19","11-002-0082","0","1"
"20","11-005-0002","1","0"
"21","11-005-0004","2","1"
"22","11-005-0005","0","1"
"23","11-005-0011","2","0"
"24","12-006-0001","0","1"
"25","12-008-0001","2","0"
"26","13-005-0004","1","1"
"27","13-005-0005","2","0"
"28","13-005-0013","0","1"
"29","13-005-0015","2","0"
"30","13-005-0020","1","1"
"31","13-006-0004","2","0"
"32","14-002-0186","1","0"
"33","14-003-0122","2","0"
"34","15-001-0336","0","1"
"35","15-002-0089","0","1"
