"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","2","1"
"3","02-001-0209","1","0"
"4","02-002-0344","0","1"
"5","04-003-1135","0","1"
"6","04-003-1244","0","1"
"7","05-003-2635","1","0"
"8","06-003-0645","1","1"
"9","06-003-1850","0","1"
"10","07-011-0214","1","0"
"11","07-011-0906","2","1"
"12","09-010-0014","0","1"
"13","09-011-0242","1","0"
"14","10-003-1164","0","1"
"15","10-005-0015","1","0"
"16","10-011-0137","0","1"
"17","11-010-0004","0","1"
"18","11-010-0013","1","0"
"19","11-011-0566","0","1"
"20","11-011-0581","1","1"
"21","13-001-0053","0","1"
"22","13-003-1374","0","1"
"23","13-008-0007","1","0"
"24","13-011-0349","0","1"
"25","13-011-0857","1","1"
"26","13-011-0877","1","1"
"27","14-003-0321","1","0"
"28","14-003-0380","1","0"
"29","14-003-1498","0","1"
"30","14-004-0013","0","1"
"31","14-010-0002","0","1"
"32","14-011-0313","0","1"
"33","14-011-0437","1","1"
"34","14-011-0713","1","0"
"35","15-001-0336","0","1"
"36","15-003-0338","0","1"
