"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0209","2","0"
"3","03-003-0219","1","0"
"4","05-002-0012","1","0"
"5","05-003-3233","0","1"
"6","06-003-0645","0","1"
"7","07-010-0022","2","0"
"8","07-011-0539","0","1"
"9","07-011-0923","0","1"
"10","08-009-0017","1","1"
"11","08-011-0908","0","1"
"12","09-008-0017","0","1"
"13","09-008-0020","1","0"
"14","09-010-0021","1","0"
"15","09-010-0028","1","0"
"16","09-011-0242","1","0"
"17","10-003-0424","0","1"
"18","10-003-1164","0","1"
"19","10-005-0003","1","0"
"20","10-005-0013","1","1"
"21","10-011-0316","0","1"
"22","11-002-0342","0","1"
"23","11-004-0099","0","1"
"24","11-005-0003","0","1"
"25","12-003-1259","1","0"
"26","12-008-0002","0","1"
"27","12-008-0026","1","0"
"28","12-008-0028","1","0"
"29","12-009-0019","1","0"
"30","12-009-0026","1","1"
"31","12-011-0037","0","1"
"32","12-011-1009","1","1"
"33","13-001-0053","0","1"
"34","13-003-0882","1","0"
"35","13-008-0003","1","0"
"36","13-008-0016","1","0"
"37","13-008-0027","1","0"
"38","13-008-0029","0","1"
"39","13-008-0032","1","0"
"40","13-010-0014","1","0"
"41","13-010-0030","1","0"
"42","13-011-0742","0","1"
"43","13-011-0901","0","1"
"44","13-011-0982","0","1"
"45","14-003-0380","0","1"
"46","14-003-1270","0","1"
"47","14-011-0297","0","1"
"48","14-011-0408","0","1"
"49","14-011-0482","1","0"
"50","14-011-0713","0","1"
"51","14-011-0770","0","1"
"52","14-011-0904","0","1"
"53","14-011-0995","0","1"
"54","15-002-0070","0","1"
"55","15-003-0338","1","0"
