"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","1","0"
"4","04-003-1135","0","1"
"5","04-003-1244","1","0"
"6","06-003-1850","0","1"
"7","07-011-0085","0","1"
"8","07-011-0906","2","0"
"9","08-011-0532","0","1"
"10","09-002-0168","0","1"
"11","10-005-0019","0","1"
"12","10-011-0570","0","1"
"13","12-001-0208","0","1"
"14","12-003-0782","2","0"
"15","12-008-0002","1","1"
"16","12-008-0020","1","0"
"17","12-008-0026","1","0"
"18","13-005-0013","0","1"
"19","13-011-0857","1","0"
"20","14-011-0213","1","0"
"21","14-011-0437","2","0"
"22","14-011-0461","1","1"
"23","14-011-0938","0","1"
"24","14-011-0995","0","1"
"25","14-011-1109","1","1"
