"","GEN","Matrícula","Nombre_Carrera","Nombre_Plantel","Turno","Situacion","Materia","Tema_Especifico","Calificacion","Periodo_Certificacion"
"1","01","01-000-0257","Derecho","CH","V","ACTIVO","TEORIA POLITICA I","TEORIA POLITICA I","NC",1-08-03
"2","01","01-000-0257","Derecho","CH","V","ACTIVO","ESCRITURA CREATIVA I","ESCRITURA CREATIVA I","NC",1-08-03
"3","01","01-000-0257","Derecho","CH","V","ACTIVO","PROCESOS SOCIOHISTORICOS I","PROCESOS SOCIOHISTORICOS I","C",1-08-03
"4","01","01-000-0257","Derecho","DV","V","ACTIVO","DECISION POLITICA Y POLITICAS PUBLICAS","DECISION POLITICA Y POLITICAS PUBLICAS","C",1-12-09
"5","01","01-000-0257","Derecho","DV","V","ACTIVO","ANALISIS POLITICO DE COYUNTURA","ANALISIS POLITICO DE COYUNTURA","C",1-12-09
"6","01","01-000-0257","Derecho","DV","V","ACTIVO","MEXICO Y AMERICA LATINA EN EL CONTEXTO INTERNACIONAL","MEXICO Y AMERICA LATINA EN EL CONTEXTO INTERNACIONAL","C",1-12-09
"7","01","01-000-0257","Derecho","DV","V","ACTIVO","LENGUAJE Y PENSAMIENTO I","LENGUAJE Y PENSAMIENTO I","C",1-12-09
"8","01","01-000-0257","Derecho","DV","V","ACTIVO","ESTUDIOS SOCIALES E HISTORICOS II","ESTUDIOS SOCIALES E HISTORICOS II","NC",1-12-09
"9","01","01-000-0257","Derecho","DV","V","ACTIVO","TEORIA DE LA ORGANIZACION EN EL CONTEXTO GLOBAL","TEORIA DE LA ORGANIZACION EN EL CONTEXTO GLOBAL","C",1-12-09
"10","01","01-000-0257","Derecho","DV","V","ACTIVO","INTERNACIONALIZACION Y GLOBALIZACION. APORTES TEORICOS","INTERNACIONALIZACION Y GLOBALIZACION. APORTES TEORICOS","C",1-12-09
"11","01","01-000-0257","Derecho","DV","V","ACTIVO","ESTUDIOS SOCIALES E HISTORICOS II","ESTUDIOS SOCIALES E HISTORICOS II","C",1-12-10
"12","01","01-000-0257","Derecho","DV","V","ACTIVO","LENGUA EXTRANJERA I","INGLES I","NC",1-12-10
"13","01","01-000-0257","Derecho","DV","V","ACTIVO","DEMOCRACIA Y AUTORITARISMO EN LAS SOCIEDADES LATINOAMERICANAS CONTEMPORANEAS","DEMOCRACIA Y AUTORITARISMO EN LAS SOCIEDADES LATINOAMERICANAS CONTEMPORANEAS","NC",1-12-10
"14","01","01-000-0257","Derecho","DV","V","ACTIVO","GLOBALIZACION CONCENTRACION Y EL NUEVO ORDEN INTERNACIONAL","GLOBALIZACION CONCENTRACION Y EL NUEVO ORDEN INTERNACIONAL","C",1-12-10
"15","01","01-000-0257","Derecho","DV","V","ACTIVO","ANALISIS POLITICO CON METODOS CUANTITATIVOS","ANALISIS POLITICO CON METODOS CUANTITATIVOS","C",1-12-10
"16","01","01-000-0257","Derecho","DV","V","ACTIVO","PARTICIPACION Y REPRESENTACION EN EL MEXICO CONTEMPORANEO","PARTICIPACION Y REPRESENTACION EN EL MEXICO CONTEMPORANEO","C",1-12-10
"17","01","01-000-0257","Derecho","DV","V","ACTIVO","CIUDADANIA PARTICIPACION Y REPRESENTACION. APORTES TEORICOS","CIUDADANIA PARTICIPACION Y REPRESENTACION. APORTES TEORICOS","C",1-12-10
"18","01","01-000-0257","Derecho","SLT","V","ACTIVO","SEMINARIO DE INVESTIGACION I","SEMINARIO DE INVESTIGACION I","NC",1-12-11
"19","01","01-000-0257","Derecho","DV","V","ACTIVO","PLANEACION CON PARTICIPACION EN LA CIUDAD DE MEXICO","PLANEACION CON PARTICIPACION EN LA CIUDAD DE MEXICO","C",1-12-11
"20","01","01-000-0257","Derecho","DV","V","ACTIVO","SEMINARIO DE INVESTIGACION II","SEMINARIO DE INVESTIGACION II","NC",1-12-11
"21","01","01-000-0257","Derecho","DV","V","ACTIVO","ANALISIS DE POLITICAS PUBLICAS","ANALISIS DE POLITICAS PUBLICAS","C",1-12-11
"22","01","01-000-0257","Derecho","DV","V","ACTIVO","MARCO JURIDICO DE LA ADMINISTRACION PUBLICA","MARCO JURIDICO DE LA ADMINISTRACION PUBLICA","C",1-12-11
"23","01","01-000-0257","Derecho","SLT","V","ACTIVO","SEMINARIO DE INVESTIGACION II","SEMINARIO DE INVESTIGACION II","C",1-12-13
"24","01","01-000-0257","Derecho","DV","V","ACTIVO","SEMINARIO DE INVESTIGACION I","SEMINARIO DE INVESTIGACION I","C",1-12-14
"25","01","01-000-0257","Derecho","DV","V","ACTIVO","CULTURA CIENTIFICA Y HUMANISTICA II","CULTURA CIENTIFICA Y HUMANISTICA II","C",1-01-09
"26","01","01-000-0257","Derecho","DV","V","ACTIVO","ESTUDIOS SOCIALES E HISTORICOS II","ESTUDIOS SOCIALES E HISTORICOS II","NC",1-01-09
"27","01","01-000-0257","Derecho","DV","V","ACTIVO","TEORIA POLITICA II","TEORIA POLITICA II","C",1-01-09
"28","01","01-000-0257","Derecho","DV","V","ACTIVO","LENGUAJE Y PENSAMIENTO II","LENGUAJE Y PENSAMIENTO II","NC",1-01-09
