"","Matricula","Plantel","Turno","Estatus","Materias","Cal","Anho","PeriodoCert","Gen","Lic","Periodo"
"1","01-000-0257","CH","V","ACTIVO","TEORIA POLITICA I","NC","03","Segundo","01","Derecho",1-08-03
"2","01-000-0257","CH","V","ACTIVO","ESCRITURA CREATIVA I","NC","03","Segundo","01","Derecho",1-08-03
"3","01-000-0257","CH","V","ACTIVO","PROCESOS SOCIOHISTORICOS I","C","03","Segundo","01","Derecho",1-08-03
"4","01-000-0257","DV","V","ACTIVO","DECISION POLITICA Y POLITICAS PUBLICAS","C","09","Segundo","01","Derecho",1-12-09
"5","01-000-0257","DV","V","ACTIVO","ANALISIS POLITICO DE COYUNTURA","C","09","Segundo","01","Derecho",1-12-09
"6","01-000-0257","DV","V","ACTIVO","MEXICO Y AMERICA LATINA EN EL CONTEXTO INTERNACIONAL","C","09","Segundo","01","Derecho",1-12-09
"7","01-000-0257","DV","V","ACTIVO","LENGUAJE Y PENSAMIENTO I","C","09","Segundo","01","Derecho",1-12-09
"8","01-000-0257","DV","V","ACTIVO","ESTUDIOS SOCIALES E HISTORICOS II","NC","09","Segundo","01","Derecho",1-12-09
"9","01-000-0257","DV","V","ACTIVO","TEORIA DE LA ORGANIZACION EN EL CONTEXTO GLOBAL","C","09","Segundo","01","Derecho",1-12-09
"10","01-000-0257","DV","V","ACTIVO","INTERNACIONALIZACION Y GLOBALIZACION. APORTES TEORICOS","C","09","Segundo","01","Derecho",1-12-09
"11","01-000-0257","DV","V","ACTIVO","ESTUDIOS SOCIALES E HISTORICOS II","C","10","Segundo","01","Derecho",1-12-10
"12","01-000-0257","DV","V","ACTIVO","INGLES I","NC","10","Segundo","01","Derecho",1-12-10
"13","01-000-0257","DV","V","ACTIVO","DEMOCRACIA Y AUTORITARISMO EN LAS SOCIEDADES LATINOAMERICANAS CONTEMPORANEAS","NC","10","Segundo","01","Derecho",1-12-10
"14","01-000-0257","DV","V","ACTIVO","GLOBALIZACION CONCENTRACION Y EL NUEVO ORDEN INTERNACIONAL","C","10","Segundo","01","Derecho",1-12-10
"15","01-000-0257","DV","V","ACTIVO","ANALISIS POLITICO CON METODOS CUANTITATIVOS","C","10","Segundo","01","Derecho",1-12-10
"16","01-000-0257","DV","V","ACTIVO","PARTICIPACION Y REPRESENTACION EN EL MEXICO CONTEMPORANEO","C","10","Segundo","01","Derecho",1-12-10
"17","01-000-0257","DV","V","ACTIVO","CIUDADANIA PARTICIPACION Y REPRESENTACION. APORTES TEORICOS","C","10","Segundo","01","Derecho",1-12-10
"18","01-000-0257","SLT","V","ACTIVO","SEMINARIO DE INVESTIGACION I","NC","11","Segundo","01","Derecho",1-12-11
"19","01-000-0257","DV","V","ACTIVO","PLANEACION CON PARTICIPACION EN LA CIUDAD DE MEXICO","C","11","Segundo","01","Derecho",1-12-11
"20","01-000-0257","DV","V","ACTIVO","SEMINARIO DE INVESTIGACION II","NC","11","Segundo","01","Derecho",1-12-11
"21","01-000-0257","DV","V","ACTIVO","ANALISIS DE POLITICAS PUBLICAS","C","11","Segundo","01","Derecho",1-12-11
"22","01-000-0257","DV","V","ACTIVO","MARCO JURIDICO DE LA ADMINISTRACION PUBLICA","C","11","Segundo","01","Derecho",1-12-11
"23","01-000-0257","SLT","V","ACTIVO","SEMINARIO DE INVESTIGACION II","C","13","Segundo","01","Derecho",1-12-13
"24","01-000-0257","DV","V","ACTIVO","SEMINARIO DE INVESTIGACION I","C","14","Segundo","01","Derecho",1-12-14
"25","01-000-0257","DV","V","ACTIVO","CULTURA CIENTIFICA Y HUMANISTICA II","C","09","Primer","01","Derecho",1-01-09
"26","01-000-0257","DV","V","ACTIVO","ESTUDIOS SOCIALES E HISTORICOS II","NC","09","Primer","01","Derecho",1-01-09
"27","01-000-0257","DV","V","ACTIVO","TEORIA POLITICA II","C","09","Primer","01","Derecho",1-01-09
"28","01-000-0257","DV","V","ACTIVO","LENGUAJE Y PENSAMIENTO II","NC","09","Primer","01","Derecho",1-01-09
"29","01-000-0257","CH","V","ACTIVO","ESCRITURA CREATIVA II","NC","03","Primer","01","Derecho",1-02-03
"30","01-000-0257","CH","V","ACTIVO","INGLES I","NC","04","Primer","01","Derecho",1-02-04
"31","01-000-0257","CH","V","ACTIVO","FISICA I","NC","02","Segundo","01","Derecho",1-07-02
"32","01-000-0257","CH","V","ACTIVO","INGLES I","NC","02","Segundo","01","Derecho",1-07-02
"33","01-000-0257","CH","V","ACTIVO","ALGEBRA Y GEOMETRIA ANALITICA (INGENIERIA)","NC","02","Segundo","01","Derecho",1-07-02
"34","01-000-0257","CH","V","ACTIVO","CALCULO DIFERENCIAL E INTEGRAL","NC","02","Segundo","01","Derecho",1-07-02
"35","01-000-0257","CH","V","ACTIVO","CALCULO DIFERENCIAL E INTEGRAL","NC","02","Segundo","01","Derecho",1-07-02
"36","01-000-0257","CH","V","ACTIVO","MATEMATICAS I","NC","02","Segundo","01","Derecho",1-07-02
"37","01-000-0257","CH","V","ACTIVO","INFORMATICA I","NC","02","Segundo","01","Derecho",1-07-02
"38","01-000-0257","DV","V","ACTIVO","NIVELES DE GOBIERNO","NC","13","Segundo","01","Derecho",1-07-13
"39","01-000-0257","SLT","V","ACTIVO","SEMINARIO DE INVESTIGACION I","NC","13","Segundo","01","Derecho",1-07-13
"40","01-000-0257","DV","V","ACTIVO","CULTURA CIENTIFICA Y HUMANISTICA I","C","09","Primer","01","Derecho",1-06-09
"41","01-000-0257","DV","V","ACTIVO","LENGUAJE Y PENSAMIENTO III","C","09","Primer","01","Derecho",1-06-09
"42","01-000-0257","DV","V","ACTIVO","TEORIA POLITICA III","C","09","Primer","01","Derecho",1-06-09
"43","01-000-0257","DV","V","ACTIVO","ESTUDIOS SOCIALES E HISTORICOS III","C","09","Primer","01","Derecho",1-06-09
"44","01-000-0257","DV","V","ACTIVO","CULTURA CIENTIFICA Y HUMANISTICA III","C","09","Primer","01","Derecho",1-06-09
"45","01-000-0257","DV","V","ACTIVO","TEORIA POLITICA I","C","09","Primer","01","Derecho",1-06-09
"46","01-000-0257","DV","V","ACTIVO","LENGUAJE Y PENSAMIENTO II","C","09","Primer","01","Derecho",1-06-09
"47","01-000-0257","DV","V","ACTIVO","ORGANIZACION Y AGENTES SOCIALES","C","10","Primer","01","Derecho",1-06-10
"48","01-000-0257","DV","V","ACTIVO","ANALISIS POLITICO CON METODOS CUALITATIVOS","C","10","Primer","01","Derecho",1-06-10
"49","01-000-0257","DV","V","ACTIVO","IDENTIDADES ETNICAS RELIGIOSAS Y DE GENERO EN LA SOCIEDAD ACTUAL","C","10","Primer","01","Derecho",1-06-10
"50","01-000-0257","DV","V","ACTIVO","ACTORES SOCIALES MOVIMIENTOS SOCIALES Y SOCIEDAD CIVIL. APORTES TEORICOS","C","10","Primer","01","Derecho",1-06-10
"51","01-000-0257","DV","V","ACTIVO","ESTRUCTURA SOCIAL DEL MEXICO CONTEMPORANEO","C","10","Primer","01","Derecho",1-06-10
"52","01-000-0257","DV","V","ACTIVO","ESTADO PARTIDOS Y SOCIEDAD CIVIL. APORTES TEORICOS","C","10","Primer","01","Derecho",1-06-10
"53","01-000-0257","DV","V","ACTIVO","SISTEMA POLITICO MEXICANO; DIVISION O CONCENTRACION DE PODERES","C","11","Primer","01","Derecho",1-06-11
"54","01-000-0257","DV","V","ACTIVO","INGLES I","C","11","Primer","01","Derecho",1-06-11
"55","01-000-0257","DV","V","ACTIVO","ECONOMIA POLITICA Y EVALUACION DE POLITICAS","C","11","Primer","01","Derecho",1-06-11
"56","01-000-0257","DV","V","ACTIVO","SEMINARIO DE INVESTIGACION I","NC","11","Primer","01","Derecho",1-06-11
"57","01-000-0257","DV","V","ACTIVO","LOS GRANDES PROBLEMAS DE LA ADMINISTRACION EN LAS CIUDADES. EXPERIENCIAS COMPARADAS","C","11","Primer","01","Derecho",1-06-11
"58","01-000-0257","DV","V","ACTIVO","FORMAS DE GOBIERNO Y SISTEMAS ELECTORALES EN AMERICA LATINA","C","11","Primer","01","Derecho",1-06-11
"59","01-000-0257","DV","V","ACTIVO","INGLES II","C","11","Primer","01","Derecho",1-06-11
"60","01-000-0257","SLT","V","ACTIVO","SEMINARIO DE INVESTIGACION II","NC","11","Primer","01","Derecho",1-06-11
"61","01-000-0257","DV","V","ACTIVO","ADMINISTRACION DE LA CIUDAD DE MEXICO","C","11","Primer","01","Derecho",1-06-11
"62","01-000-0257","DV","V","ACTIVO","SEMINARIO DE INVESTIGACION I","NC","12","Primer","01","Derecho",1-06-12
"63","01-000-0257","DV","V","ACTIVO","NIVELES DE GOBIERNO","NC","12","Primer","01","Derecho",1-06-12
"64","01-000-0257","CH","V","ACTIVO","DERECHO LABORAL","NC","14","Primer","01","Derecho",1-06-14
"65","01-000-0257","SLT","V","ACTIVO","SEMINARIO DE INVESTIGACION I","NC","14","Primer","01","Derecho",1-06-14
"66","01-000-0257","CH","V","ACTIVO","DERECHO DE AMPARO","NC","14","Primer","01","Derecho",1-06-14
