"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","0","1"
"4","03-002-0488","1","0"
"5","03-003-0219","0","1"
"6","03-003-0550","0","1"
"7","04-003-1135","0","1"
"8","04-003-1244","0","1"
"9","04-003-1529","2","0"
"10","04-003-1658","0","1"
"11","05-002-0012","1","0"
"12","05-003-2071","0","1"
"13","05-003-2140","0","1"
"14","05-003-3233","0","1"
"15","05-005-2853","0","1"
"16","05-005-2855","2","1"
"17","05-005-2856","0","1"
"18","05-005-2858","0","1"
"19","05-005-3325","3","0"
"20","05-005-3346","0","1"
"21","05-005-3348","0","1"
"22","05-005-3388","0","1"
"23","05-005-3389","0","1"
"24","05-005-3390","1","1"
"25","05-006-2843","0","1"
"26","05-006-2844","1","0"
"27","05-006-2850","0","1"
"28","05-006-2852","2","1"
"29","05-006-2860","1","1"
"30","05-006-3355","2","1"
"31","05-006-3358","0","1"
"32","05-006-3359","6","0"
"33","05-006-3375","0","1"
"34","05-007-0001","0","1"
"35","05-007-0002","0","1"
"36","05-007-0010","0","1"
"37","05-007-0018","0","1"
"38","05-008-0002","0","1"
"39","05-008-0005","0","1"
"40","05-008-0010","0","1"
"41","05-008-0011","3","0"
"42","05-008-0013","0","1"
"43","05-008-0015","1","1"
"44","05-009-0001","0","1"
"45","05-009-0005","0","1"
"46","05-009-0006","0","1"
"47","05-009-0007","0","1"
"48","05-009-0011","1","1"
"49","05-009-0013","4","1"
"50","05-009-0014","0","1"
"51","05-009-0017","0","1"
"52","05-009-0018","0","1"
"53","05-009-0019","0","1"
"54","05-009-0021","0","1"
"55","06-003-0645","1","1"
"56","06-003-0950","0","1"
"57","06-003-1711","1","0"
"58","06-003-2649","2","1"
"59","06-005-0004","0","1"
"60","06-005-0006","0","1"
"61","06-006-0003","0","1"
"62","06-007-0001","1","0"
"63","06-007-0003","1","0"
"64","06-008-0003","0","1"
"65","06-008-0004","0","1"
"66","06-008-0006","0","1"
"67","06-008-0007","2","1"
"68","06-008-0011","0","1"
"69","06-008-0015","0","1"
"70","07-006-0001","0","1"
"71","07-006-0004","0","1"
"72","07-006-0005","0","1"
"73","07-006-0006","0","1"
"74","07-006-0007","2","1"
"75","07-008-0001","0","1"
"76","07-008-0003","0","1"
"77","07-008-0006","1","0"
"78","07-008-0010","0","1"
"79","07-008-0011","0","1"
"80","07-008-0014","0","1"
"81","07-008-0015","1","1"
"82","07-009-0001","0","1"
"83","07-009-0003","2","0"
"84","07-010-0002","1","0"
"85","07-010-0003","2","0"
"86","07-010-0008","2","1"
"87","07-010-0009","2","1"
"88","07-010-0011","1","1"
"89","07-010-0016","2","1"
"90","07-010-0018","1","1"
"91","07-010-0019","1","1"
"92","07-010-0020","1","0"
"93","07-010-0021","1","1"
"94","07-010-0022","0","1"
"95","07-010-0023","0","1"
"96","07-011-0085","0","1"
"97","07-011-0521","1","0"
"98","07-011-0523","0","1"
"99","07-011-0539","0","1"
"100","07-011-0662","0","1"
"101","07-011-0906","4","1"
"102","08-003-0842","0","1"
"103","08-005-0013","0","1"
"104","08-006-0001","1","1"
"105","08-006-0004","0","1"
"106","08-006-0005","1","1"
"107","08-006-0006","0","1"
"108","08-006-0007","0","1"
"109","08-006-0008","0","1"
"110","08-006-0009","0","1"
"111","08-006-0011","0","1"
"112","08-007-0002","1","0"
"113","08-008-0001","3","0"
"114","08-008-0002","0","1"
"115","08-008-0003","0","1"
"116","08-008-0004","0","1"
"117","08-008-0006","1","1"
"118","08-008-0008","0","1"
"119","08-008-0009","1","1"
"120","08-008-0010","1","1"
"121","08-008-0011","3","1"
"122","08-008-0012","0","1"
"123","08-008-0014","0","1"
"124","08-009-0001","0","1"
"125","08-009-0002","2","0"
"126","08-009-0004","0","1"
"127","08-009-0008","1","0"
"128","08-009-0011","0","1"
"129","08-009-0016","2","1"
"130","08-009-0017","6","1"
"131","08-009-0018","0","1"
"132","08-009-0020","0","1"
"133","08-009-0024","2","0"
"134","08-009-0025","5","0"
"135","08-009-0026","2","0"
"136","08-011-0062","0","1"
"137","08-011-0331","0","1"
"138","08-011-0532","0","1"
"139","08-011-0908","0","1"
"140","08-011-0928","0","1"
"141","08-011-1022","1","0"
"142","09-002-0168","0","1"
"143","09-003-0062","0","1"
"144","09-005-0003","0","1"
"145","09-006-0001","1","1"
"146","09-006-0002","3","0"
"147","09-006-0004","0","1"
"148","09-007-0001","0","1"
"149","09-007-0004","0","1"
"150","09-008-0005","0","1"
"151","09-008-0007","0","1"
"152","09-008-0008","2","1"
"153","09-008-0011","0","1"
"154","09-008-0012","0","1"
"155","09-008-0020","0","1"
"156","09-008-0021","0","1"
"157","09-008-0022","1","0"
"158","09-008-0027","4","0"
"159","09-008-0029","0","1"
"160","09-010-0001","1","1"
"161","09-010-0005","1","1"
"162","09-010-0009","0","1"
"163","09-010-0013","0","1"
"164","09-010-0021","0","1"
"165","09-010-0026","1","1"
"166","09-010-0028","0","1"
"167","09-011-0034","0","1"
"168","09-011-0242","2","0"
"169","09-011-0538","1","0"
"170","09-011-0587","0","1"
"171","09-011-0627","0","1"
"172","10-002-0044","0","1"
"173","10-003-0424","0","1"
"174","10-003-0840","0","1"
"175","10-003-1048","0","1"
"176","10-003-1164","0","1"
"177","10-003-1374","0","1"
"178","10-005-0001","0","1"
"179","10-005-0002","0","1"
"180","10-005-0003","0","1"
"181","10-005-0004","0","1"
"182","10-005-0005","0","1"
"183","10-005-0008","0","1"
"184","10-005-0013","0","1"
"185","10-005-0019","0","1"
"186","10-005-0020","1","1"
"187","10-005-0021","0","1"
"188","10-007-0001","0","1"
"189","10-008-0001","0","1"
"190","10-008-0003","0","1"
"191","10-008-0008","1","1"
"192","10-008-0010","0","1"
"193","10-008-0012","0","1"
"194","10-008-0015","0","1"
"195","10-008-0020","0","1"
"196","10-008-0021","0","1"
"197","10-008-0024","1","0"
"198","10-008-0025","0","1"
"199","10-008-0033","0","1"
"200","10-008-0034","0","1"
"201","10-008-0035","0","1"
"202","10-009-0010","0","1"
"203","10-009-0014","2","1"
"204","10-009-0016","0","1"
"205","10-009-0019","0","1"
"206","10-009-0025","0","1"
"207","10-009-0029","0","1"
"208","10-009-0030","0","1"
"209","10-009-0032","0","1"
"210","10-010-0003","0","1"
"211","10-011-0116","0","1"
"212","10-011-0137","0","1"
"213","10-011-0181","1","0"
"214","10-011-0270","0","1"
"215","10-011-0301","2","0"
"216","10-011-0316","0","1"
"217","10-011-0350","1","1"
"218","10-011-0531","1","1"
"219","10-011-0570","0","1"
"220","11-001-0089","0","1"
"221","11-002-0078","0","1"
"222","11-002-0082","0","1"
"223","11-002-0199","0","1"
"224","11-002-0342","1","1"
"225","11-003-1070","0","1"
"226","11-005-0002","0","1"
"227","11-005-0003","0","1"
"228","11-005-0004","0","1"
"229","11-005-0005","1","0"
"230","11-005-0012","0","1"
"231","11-006-0001","0","1"
"232","11-007-0001","0","1"
"233","11-008-0003","1","1"
"234","11-008-0005","0","1"
"235","11-008-0006","0","1"
"236","11-009-0001","0","1"
"237","11-010-0004","0","1"
"238","11-010-0007","0","1"
"239","11-010-0011","0","1"
"240","11-010-0016","0","1"
"241","11-010-0017","1","0"
"242","11-010-0018","0","1"
"243","11-010-0019","1","0"
"244","11-010-0021","0","1"
"245","11-010-0023","0","1"
"246","11-010-0030","0","1"
"247","11-011-0378","0","1"
"248","11-011-0581","0","1"
"249","11-011-0678","2","0"
"250","11-011-0762","1","0"
"251","12-001-0069","0","1"
"252","12-001-0208","0","1"
"253","12-003-0277","0","1"
"254","12-003-0782","2","0"
"255","12-003-1635","0","1"
"256","12-003-1684","0","1"
"257","12-004-0084","0","1"
"258","12-004-0115","0","1"
"259","12-005-0001","0","1"
"260","12-006-0001","0","1"
"261","12-008-0002","0","1"
"262","12-008-0008","0","1"
"263","12-008-0010","0","1"
"264","12-008-0013","0","1"
"265","12-008-0016","0","1"
"266","12-008-0023","0","1"
"267","12-008-0025","0","1"
"268","12-008-0026","0","1"
"269","12-008-0028","0","1"
"270","12-008-0029","1","0"
"271","12-009-0002","0","1"
"272","12-009-0008","0","1"
"273","12-009-0012","0","1"
"274","12-009-0015","1","1"
"275","12-009-0019","4","0"
"276","12-009-0026","1","0"
"277","12-009-0027","0","1"
"278","12-011-0037","0","1"
"279","12-011-0092","0","1"
"280","12-011-0147","0","1"
"281","12-011-0352","0","1"
"282","12-011-0776","3","0"
"283","12-011-0905","0","1"
"284","12-011-0957","0","1"
"285","12-011-1009","0","1"
"286","12-011-1192","0","1"
"287","13-001-0085","0","1"
"288","13-001-0109","0","1"
"289","13-001-0265","0","1"
"290","13-003-0256","0","1"
"291","13-003-0882","0","1"
"292","13-003-0941","1","1"
"293","13-003-1054","0","1"
"294","13-003-1505","0","1"
"295","13-003-1577","4","0"
"296","13-004-0021","1","1"
"297","13-004-0154","0","1"
"298","13-005-0002","0","1"
"299","13-005-0003","0","1"
"300","13-005-0004","0","1"
"301","13-005-0013","1","1"
"302","13-005-0017","0","1"
"303","13-005-0018","0","1"
"304","13-005-0020","0","1"
"305","13-006-0002","0","1"
"306","13-006-0003","0","1"
"307","13-006-0005","0","1"
"308","13-006-0006","0","1"
"309","13-006-0007","0","1"
"310","13-006-0009","0","1"
"311","13-006-0011","0","1"
"312","13-006-0012","0","1"
"313","13-006-0013","0","1"
"314","13-006-0015","0","1"
"315","13-006-0016","0","1"
"316","13-006-0018","0","1"
"317","13-006-0020","0","1"
"318","13-008-0003","0","1"
"319","13-008-0006","0","1"
"320","13-008-0011","0","1"
"321","13-008-0013","0","1"
"322","13-008-0014","1","1"
"323","13-008-0016","0","1"
"324","13-008-0025","0","1"
"325","13-008-0027","0","1"
"326","13-008-0029","0","1"
"327","13-008-0031","0","1"
"328","13-008-0032","0","1"
"329","13-010-0001","0","1"
"330","13-010-0003","0","1"
"331","13-010-0006","0","1"
"332","13-010-0009","0","1"
"333","13-010-0011","0","1"
"334","13-010-0013","0","1"
"335","13-010-0014","0","1"
