"","Matricula","NC","C"
"1","02-001-0200","0","1"
"2","02-001-0209","0","1"
"3","03-002-0488","1","0"
"4","03-003-0219","0","1"
"5","03-003-0407","1","0"
"6","05-002-0012","0","1"
"7","05-005-2855","0","1"
"8","05-005-3325","2","1"
"9","05-005-3388","0","1"
"10","05-005-3389","0","1"
"11","05-006-2843","0","1"
"12","05-006-2844","1","0"
"13","05-006-2850","0","1"
"14","05-006-2852","0","1"
"15","05-006-2860","1","0"
"16","05-006-3355","2","0"
"17","05-006-3358","0","1"
"18","05-006-3359","0","1"
"19","05-006-3375","0","1"
"20","05-007-0001","0","1"
"21","05-007-0002","1","0"
"22","05-007-0006","1","0"
"23","05-007-0010","0","1"
"24","05-007-0018","0","1"
"25","05-008-0006","1","0"
"26","05-008-0015","2","0"
"27","06-005-0004","0","1"
"28","06-005-0006","0","1"
"29","06-006-0002","0","1"
"30","06-006-0003","0","1"
"31","06-007-0001","1","1"
"32","06-007-0002","0","1"
"33","06-007-0003","0","1"
"34","06-008-0003","0","1"
"35","06-008-0006","2","0"
"36","06-008-0007","0","1"
"37","07-005-0001","0","1"
"38","07-006-0001","0","1"
"39","07-006-0002","1","0"
"40","07-006-0003","0","1"
"41","07-006-0004","0","1"
"42","07-006-0005","0","1"
"43","07-006-0006","0","1"
"44","07-006-0007","0","1"
"45","07-007-0004","0","1"
"46","07-007-0005","0","1"
"47","07-008-0001","0","1"
"48","07-008-0005","0","1"
"49","07-008-0006","0","1"
"50","07-008-0010","0","1"
"51","07-008-0011","1","0"
"52","07-008-0012","1","1"
"53","07-008-0015","0","1"
"54","07-010-0002","0","1"
"55","07-010-0003","0","1"
"56","07-010-0004","0","1"
"57","07-010-0006","1","0"
"58","07-010-0008","0","1"
"59","07-010-0009","0","1"
"60","07-010-0011","0","1"
"61","07-010-0012","0","1"
"62","07-010-0016","0","1"
"63","07-010-0018","0","1"
"64","07-010-0019","0","1"
"65","07-010-0021","0","1"
"66","07-010-0022","0","1"
"67","07-010-0025","1","0"
"68","07-011-0539","0","1"
"69","07-011-0906","0","1"
"70","08-005-0010","2","0"
"71","08-005-0011","1","0"
"72","08-006-0001","1","0"
"73","08-006-0003","1","0"
"74","08-006-0005","0","1"
"75","08-006-0006","1","0"
"76","08-006-0007","0","1"
"77","08-006-0008","1","0"
"78","08-006-0009","1","0"
"79","08-006-0011","0","1"
"80","08-008-0001","0","1"
"81","08-008-0002","0","1"
"82","08-008-0004","1","0"
"83","08-008-0006","0","1"
"84","08-008-0008","0","1"
"85","08-008-0009","0","1"
"86","08-008-0011","0","1"
"87","08-008-0014","0","1"
"88","08-008-0015","1","0"
"89","08-009-0016","0","1"
"90","08-009-0017","1","0"
"91","08-009-0025","1","0"
"92","08-011-0331","1","1"
"93","08-011-1036","1","0"
"94","09-001-0078","0","1"
"95","09-003-0695","1","0"
"96","09-005-0001","1","0"
"97","09-006-0001","1","1"
"98","09-006-0003","1","0"
"99","09-008-0004","1","0"
"100","09-008-0005","0","1"
"101","09-008-0007","0","1"
"102","09-008-0011","0","1"
"103","09-008-0013","0","1"
"104","09-008-0014","1","0"
"105","09-008-0018","0","1"
"106","09-008-0020","0","1"
"107","09-008-0021","0","1"
"108","09-008-0025","0","1"
"109","09-008-0029","0","1"
"110","09-010-0014","0","1"
"111","09-010-0025","1","0"
"112","09-011-0627","0","1"
"113","10-002-0044","0","1"
"114","10-005-0001","0","1"
"115","10-005-0003","1","0"
"116","10-005-0008","0","1"
"117","10-005-0013","1","0"
"118","10-005-0019","1","0"
"119","10-005-0020","0","1"
"120","10-005-0021","0","1"
"121","10-008-0001","0","1"
"122","10-008-0003","0","1"
"123","10-008-0010","0","1"
"124","10-008-0015","0","1"
"125","10-008-0025","0","1"
"126","10-008-0029","0","1"
"127","10-009-0016","0","1"
"128","11-002-0068","0","1"
"129","11-002-0099","1","0"
"130","11-002-0342","0","1"
"131","11-005-0002","0","1"
"132","11-005-0003","0","1"
"133","11-005-0005","0","1"
"134","11-005-0008","0","1"
"135","11-005-0011","1","0"
"136","11-005-0012","1","0"
"137","11-006-0001","0","1"
"138","12-006-0001","0","1"
"139","12-008-0002","0","1"
"140","12-008-0008","0","1"
"141","12-008-0013","1","0"
"142","12-008-0016","0","1"
"143","12-008-0020","1","0"
"144","12-008-0028","0","1"
"145","12-009-0002","0","1"
"146","12-009-0006","0","1"
"147","12-009-0007","1","0"
"148","12-009-0012","0","1"
"149","12-009-0015","0","1"
"150","12-009-0019","0","1"
"151","12-009-0020","0","1"
"152","12-009-0026","1","1"
"153","12-009-0027","0","1"
"154","13-001-0117","0","1"
"155","13-005-0004","1","0"
"156","13-005-0005","0","1"
"157","13-005-0007","0","1"
"158","13-005-0015","0","1"
"159","13-005-0017","1","0"
"160","13-005-0020","0","1"
"161","13-006-0002","0","1"
"162","13-006-0003","1","1"
"163","13-006-0005","1","0"
"164","13-006-0006","0","1"
"165","13-006-0007","0","1"
"166","13-006-0009","0","1"
"167","13-006-0011","0","1"
"168","13-006-0012","0","1"
"169","13-006-0013","0","1"
"170","13-006-0015","0","1"
"171","13-006-0016","0","1"
"172","13-006-0018","0","1"
"173","13-006-0020","0","1"
"174","13-008-0004","0","1"
"175","13-008-0005","1","0"
"176","13-008-0006","0","1"
"177","13-008-0007","1","0"
"178","13-008-0010","0","1"
"179","13-008-0012","1","0"
"180","13-008-0013","0","1"
"181","13-008-0014","0","1"
"182","13-008-0016","0","1"
"183","13-008-0019","1","0"
"184","13-008-0022","0","1"
"185","13-008-0023","1","0"
"186","13-008-0027","0","1"
"187","13-008-0031","0","1"
"188","13-008-0032","0","1"
"189","13-010-0001","0","1"
"190","13-010-0003","0","1"
"191","13-010-0006","0","1"
"192","13-010-0011","0","1"
"193","13-010-0013","0","1"
"194","13-010-0014","0","1"
"195","13-010-0015","0","1"
"196","13-010-0016","0","1"
"197","13-010-0017","0","1"
"198","13-010-0018","0","1"
"199","13-010-0020","0","1"
"200","13-010-0027","0","1"
"201","13-010-0029","0","1"
"202","13-010-0030","0","1"
"203","13-011-0075","0","1"
"204","13-011-0614","0","1"
"205","14-003-0122","0","1"
"206","14-003-1364","0","1"
"207","14-008-0002","1","0"
"208","14-010-0001","0","1"
"209","14-010-0002","0","1"
"210","15-008-0001","0","1"
"211","15-008-0003","1","0"
"212","15-008-0006","0","1"
"213","15-008-0007","0","1"
"214","15-008-0009","0","1"
"215","15-008-0010","0","1"
"216","15-008-0012","0","1"
"217","15-008-0013","0","1"
"218","15-008-0014","2","0"
"219","15-008-0015","0","1"
"220","15-008-0020","1","0"
"221","15-008-0022","0","1"
"222","15-008-0023","0","1"
"223","15-008-0026","0","1"
"224","15-008-0028","0","1"
"225","15-008-0030","0","1"
"226","15-009-0007","0","1"
"227","15-009-0009","0","1"
"228","15-009-0011","0","1"
"229","15-009-0012","0","1"
"230","15-009-0013","0","1"
"231","15-009-0016","0","1"
"232","15-009-0018","0","1"
"233","15-009-0020","0","1"
"234","15-009-0021","0","1"
"235","15-009-0022","0","1"
"236","15-009-0026","0","1"
"237","15-009-0027","0","1"
"238","15-009-0028","1","0"
"239","15-009-0034","1","0"
"240","15-010-0006","0","1"
"241","15-010-0007","0","1"
"242","15-010-0009","1","0"
"243","15-010-0011","0","1"
"244","15-010-0012","1","1"
"245","15-010-0013","0","1"
"246","15-010-0018","0","1"
"247","15-010-0023","0","1"
"248","15-010-0028","0","1"
"249","15-010-0029","0","1"
"250","15-010-0031","0","1"
"251","15-010-0033","0","1"
"252","15-010-0035","0","1"
"253","16-008-0001","1","0"
"254","16-008-0002","0","1"
"255","16-008-0006","0","1"
"256","16-008-0009","0","1"
"257","16-008-0010","0","1"
"258","16-008-0011","0","1"
"259","16-008-0012","0","1"
"260","16-008-0013","1","1"
"261","16-008-0014","1","0"
"262","16-008-0015","0","1"
"263","16-008-0017","0","1"
"264","16-008-0021","1","1"
"265","16-008-0023","0","1"
"266","16-008-0025","0","1"
"267","16-010-0001","0","1"
"268","16-010-0004","0","1"
"269","16-010-0007","0","1"
"270","16-010-0014","0","1"
"271","16-010-0020","0","1"
"272","16-010-0022","0","1"
"273","16-010-0028","0","1"
"274","17-005-0003","0","1"
"275","17-005-0004","1","0"
"276","17-005-0008","0","1"
"277","17-005-0010","0","1"
"278","17-005-0012","0","1"
"279","17-005-0013","0","1"
"280","17-005-0016","0","1"
"281","17-005-0017","0","1"
"282","17-005-0020","0","1"
"283","17-005-0021","0","1"
"284","17-005-0022","0","1"
"285","17-006-0002","0","1"
"286","17-006-0005","0","1"
"287","17-006-0010","0","1"
"288","17-006-0012","0","1"
"289","17-006-0014","0","1"
"290","17-006-0016","1","0"
"291","17-006-0017","0","1"
"292","17-007-0004","0","1"
"293","17-007-0005","0","1"
"294","17-007-0007","1","0"
"295","17-007-0008","1","0"
"296","17-007-0009","0","1"
"297","17-007-0010","1","0"
"298","17-007-0011","0","1"
"299","17-007-0015","0","1"
"300","18-008-0002","1","0"
"301","18-008-0003","1","0"
"302","18-008-0006","2","0"
"303","18-008-0007","1","0"
"304","18-008-0008","1","0"
"305","18-008-0009","0","1"
"306","18-008-0011","1","0"
"307","18-008-0012","0","1"
"308","18-008-0013","1","1"
"309","18-008-0014","0","1"
"310","18-008-0016","1","0"
"311","18-008-0017","0","1"
