"","Matricula","NC","C"
"1","05-005-2855","1","0"
"2","05-005-3325","1","0"
"3","05-005-3388","0","1"
"4","05-005-3389","0","1"
"5","05-006-2843","0","1"
"6","05-006-2850","0","1"
"7","05-006-2852","1","1"
"8","05-006-3355","1","0"
"9","05-006-3359","0","1"
"10","05-006-3375","0","1"
"11","05-007-0001","0","1"
"12","05-007-0010","0","1"
"13","05-007-0018","0","1"
"14","06-005-0004","0","1"
"15","06-005-0006","0","1"
"16","06-006-0003","0","1"
"17","06-008-0005","0","1"
"18","07-005-0001","0","1"
"19","07-006-0001","0","1"
"20","07-006-0003","1","0"
"21","07-006-0004","0","1"
"22","07-006-0005","0","1"
"23","07-006-0006","0","1"
"24","07-006-0007","0","1"
"25","07-011-0906","1","0"
"26","08-005-0011","1","0"
"27","08-006-0005","1","0"
"28","08-006-0009","0","1"
"29","08-006-0011","0","1"
"30","09-005-0003","0","1"
"31","10-003-1374","0","1"
"32","11-002-0099","0","1"
"33","13-011-0075","0","1"
"34","14-003-1364","0","1"
"35","15-011-0334","0","1"
"36","15-011-0340","0","1"
