"","Matricula","NC","C"
"1","04-003-0866","0","1"
"2","05-005-3325","1","0"
"3","06-005-0004","0","1"
"4","06-005-0006","1","0"
"5","06-006-0003","0","1"
"6","06-008-0006","0","1"
"7","07-006-0004","0","1"
"8","07-006-0005","0","1"
"9","07-008-0012","0","1"
"10","07-010-0007","0","1"
"11","08-006-0008","0","1"
"12","08-006-0009","0","1"
"13","08-006-0011","0","1"
"14","08-011-0115","0","1"
"15","08-011-1036","0","1"
"16","09-006-0001","0","1"
"17","09-006-0002","1","0"
"18","09-008-0004","1","0"
"19","09-008-0005","0","1"
"20","09-008-0007","0","1"
"21","09-008-0011","0","1"
"22","09-008-0013","1","0"
"23","09-008-0015","1","0"
"24","09-008-0018","0","1"
"25","09-008-0020","0","1"
"26","09-008-0023","0","1"
"27","09-008-0025","0","1"
"28","09-008-0029","0","1"
"29","09-010-0013","0","1"
"30","09-010-0018","0","1"
"31","09-010-0021","1","0"
"32","09-010-0025","0","1"
"33","10-008-0001","0","1"
"34","10-008-0003","0","1"
"35","10-008-0008","1","0"
"36","10-008-0010","1","1"
"37","10-011-0181","0","1"
"38","11-005-0012","0","1"
"39","11-006-0001","0","1"
"40","11-010-0030","0","1"
"41","12-006-0001","0","1"
"42","12-008-0013","0","1"
"43","12-008-0029","1","0"
"44","13-006-0002","0","1"
"45","13-006-0003","0","1"
"46","13-006-0005","0","1"
"47","13-006-0006","0","1"
"48","13-006-0007","0","1"
"49","13-006-0009","0","1"
"50","13-006-0011","0","1"
"51","13-006-0012","0","1"
"52","13-006-0013","0","1"
"53","13-006-0015","0","1"
"54","13-006-0016","0","1"
"55","13-006-0018","0","1"
"56","13-006-0020","0","1"
"57","13-008-0003","0","1"
"58","13-008-0014","0","1"
"59","13-008-0031","0","1"
"60","13-010-0001","0","1"
"61","13-010-0003","0","1"
"62","13-010-0006","1","0"
"63","13-010-0009","0","1"
"64","13-010-0013","0","1"
"65","13-010-0014","0","1"
"66","13-010-0015","0","1"
"67","13-010-0016","1","0"
"68","13-010-0017","0","1"
"69","13-010-0018","0","1"
"70","13-010-0020","0","1"
"71","13-010-0027","0","1"
"72","13-010-0029","0","1"
"73","13-010-0030","0","1"
"74","13-011-0614","0","1"
"75","14-010-0002","0","1"
"76","15-010-0002","1","0"
"77","15-010-0006","0","1"
"78","15-010-0007","0","1"
"79","15-010-0013","0","1"
"80","15-010-0018","0","1"
"81","16-010-0004","1","0"
"82","16-010-0024","0","1"
"83","16-011-0063","0","1"
"84","16-011-0577","0","1"
"85","17-006-0012","0","1"
"86","17-006-0016","1","0"
"87","17-006-0017","0","1"
