"","Materia","ProbCert1a","MaxIntNuncaCert","MeanIntNuncaCert","ModeIntNuncaCert","ProbNuncaCert","MaxIntSiCert","MeanIntSiCert","ModeIntSiCert"
"1","ACTORES SOCIALES MOVIMIENTOS SOCIALES Y SOCIEDAD CIVIL. APORTES TEORICOS","0.8","1","1","1","0.2","-Inf","NaN",NA
"2","ACTORES SOCIALES Y PARTICIPACION EN LA CIUDAD DE MEXICO","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"3","ADMINISTRACION DE LA CIUDAD DE MEXICO","0.75","1","1","1","0.25","-Inf","NaN",NA
"4","ANALISIS CULTURAL","0.666666666666667","2","2","2","0.333333333333333","-Inf","NaN",NA
"5","ANALISIS POLITICO (CON METODOS CUANTITATIVOS)","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"6","ANALISIS POLITICO CON METODOS CUANTITATIVOS","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"7","ANALISIS POLITICO DE COYUNTURA","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"8","CALCULO DIFERENCIAL E INTEGRAL","0","2","2","2","1","-Inf","NaN",NA
"9","CIUDADANIA PARTICIPACION Y REPRESENTACION EN LOS SISTEMAS POLITICOS APORTES TEORICOS","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"10","COMPUTACION I","0.5","1","1","1","0.5","-Inf","NaN",NA
"11","CULTURA Y SOCIEDAD","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"12","DEMOCRACIA Y AUTORITARISMO EN LAS SOCIEDADES LATINOAMERICANAS","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"13","DERECHO AGRARIO","0.863636363636364","1","1","1","0.136363636363636","-Inf","NaN",NA
"14","DERECHO CINE Y LITERATURA","0.5","1","1","1","0.5","-Inf","NaN",NA
"15","ESCRITURA CREATIVA I","0.6","2","1.5","1.5","0.4","-Inf","NaN",NA
"16","ESCRITURA CREATIVA II","0.25","1","1","1","0.75","-Inf","NaN",NA
"17","ESCRITURA CREATIVA III","0.5","1","1","1","0.5","-Inf","NaN",NA
