"","Matricula","NC","C"
"1","07-011-0523","0","1"
"2","07-011-0662","0","1"
"3","08-011-0052","3","0"
"4","08-011-0632","0","1"
"5","10-003-1374","0","1"
"6","12-011-0092","0","1"
"7","14-011-0921","0","1"
"8","14-011-0938","0","1"
"9","15-007-0010","1","0"
"10","15-011-0208","0","1"
"11","15-011-0332","0","1"
"12","15-011-0608","0","1"
"13","15-011-1255","1","0"
"14","16-011-0126","0","1"
"15","16-011-0216","0","1"
"16","17-003-1450","0","1"
"17","17-011-0061","0","1"
"18","18-011-0048","0","1"
"19","18-011-0119","0","1"
"20","18-011-0127","0","1"
"21","18-011-0363","1","0"
"22","18-011-0767","0","1"
"23","18-011-1037","0","1"
"24","18-011-1218","0","1"
"25","18-011-1237","0","1"
"26","18-011-1371","0","1"
"27","19-011-0162","0","1"
"28","21-011-1060","0","1"
