"","Matricula","NC","C"
"1","01-000-0257","1","1"
"2","03-003-0407","0","1"
"3","04-003-1244","4","0"
"4","04-003-1658","0","1"
"5","06-003-0645","1","0"
"6","06-003-0950","0","1"
"7","07-002-0043","1","0"
"8","07-011-0906","0","1"
"9","08-001-0054","0","1"
"10","08-003-0842","0","1"
"11","08-003-1348","0","1"
"12","08-003-1370","0","1"
"13","08-007-0002","0","1"
"14","08-011-0043","0","1"
"15","08-011-1022","0","1"
"16","08-011-1036","0","1"
"17","09-002-0168","2","0"
"18","09-002-0244","0","1"
"19","09-003-0695","0","1"
"20","09-008-0005","0","1"
"21","09-011-0034","0","1"
"22","09-011-0587","0","1"
"23","09-011-0626","0","1"
"24","10-003-0139","0","1"
"25","10-011-0375","0","1"
"26","11-002-0078","1","1"
"27","11-004-0109","1","0"
"28","12-008-0008","0","1"
"29","12-011-0037","0","1"
"30","12-011-0905","0","1"
"31","12-011-0957","0","1"
