"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","0","1"
"4","03-002-0488","1","0"
"5","03-003-0219","0","1"
"6","04-003-1135","0","1"
"7","04-003-1244","0","1"
"8","04-003-1529","0","1"
"9","04-003-1658","0","1"
"10","05-002-0012","0","1"
"11","05-003-2071","0","1"
"12","05-003-3233","0","1"
"13","05-005-2853","0","1"
"14","05-005-2855","0","1"
"15","05-005-2856","0","1"
"16","05-005-2858","0","1"
"17","05-005-3325","0","1"
"18","05-005-3346","0","1"
"19","05-005-3348","1","0"
"20","05-005-3388","0","1"
"21","05-005-3389","0","1"
"22","05-005-3390","0","1"
"23","05-006-2843","0","1"
"24","05-006-2850","0","1"
"25","05-006-2852","0","1"
"26","05-006-2860","0","1"
"27","05-006-3355","0","1"
"28","05-006-3358","0","1"
"29","05-006-3359","0","1"
"30","05-006-3375","0","1"
"31","05-007-0001","0","1"
"32","05-007-0010","0","1"
"33","05-007-0018","0","1"
"34","05-008-0002","0","1"
"35","05-008-0005","0","1"
"36","05-008-0010","0","1"
"37","05-008-0011","1","1"
"38","05-008-0013","0","1"
"39","05-008-0015","1","1"
"40","05-009-0001","0","1"
"41","05-009-0006","1","1"
"42","05-009-0007","0","1"
"43","05-009-0011","1","1"
"44","05-009-0013","0","1"
"45","05-009-0014","0","1"
"46","05-009-0017","0","1"
"47","05-009-0018","0","1"
"48","05-009-0019","0","1"
"49","05-009-0021","0","1"
"50","06-003-0645","0","1"
"51","06-003-0950","0","1"
"52","06-003-1711","0","1"
"53","06-003-1850","0","1"
"54","06-003-2649","0","1"
"55","06-005-0004","0","1"
"56","06-005-0006","0","1"
"57","06-006-0003","0","1"
"58","06-008-0003","0","1"
"59","06-008-0004","0","1"
"60","06-008-0006","0","1"
"61","06-008-0007","0","1"
"62","06-008-0011","0","1"
"63","06-008-0015","0","1"
"64","07-006-0001","0","1"
"65","07-006-0004","0","1"
"66","07-006-0005","0","1"
"67","07-006-0006","0","1"
"68","07-006-0007","0","1"
"69","07-008-0001","0","1"
"70","07-008-0003","0","1"
"71","07-008-0006","1","0"
"72","07-008-0009","0","1"
"73","07-008-0010","0","1"
"74","07-008-0011","0","1"
"75","07-008-0014","0","1"
"76","07-008-0015","0","1"
"77","07-009-0001","0","1"
"78","07-009-0003","0","1"
"79","07-010-0002","1","0"
"80","07-010-0003","1","0"
"81","07-010-0007","0","1"
"82","07-010-0008","3","1"
"83","07-010-0009","0","1"
"84","07-010-0011","0","1"
"85","07-010-0016","0","1"
"86","07-010-0018","0","1"
"87","07-010-0019","0","1"
"88","07-010-0021","1","1"
"89","07-010-0022","0","1"
"90","07-010-0023","1","1"
"91","07-011-0085","0","1"
"92","07-011-0521","0","1"
"93","07-011-0523","0","1"
"94","07-011-0539","0","1"
"95","07-011-0662","0","1"
"96","07-011-0906","1","1"
"97","08-003-0842","0","1"
"98","08-006-0001","1","1"
"99","08-006-0003","1","1"
"100","08-006-0004","2","0"
"101","08-006-0005","0","1"
"102","08-006-0006","0","1"
"103","08-006-0007","0","1"
"104","08-006-0008","0","1"
"105","08-006-0009","0","1"
"106","08-006-0011","0","1"
"107","08-007-0002","0","1"
"108","08-008-0001","0","1"
"109","08-008-0002","0","1"
"110","08-008-0003","0","1"
"111","08-008-0004","0","1"
"112","08-008-0006","0","1"
"113","08-008-0008","0","1"
"114","08-008-0009","1","1"
"115","08-008-0010","1","1"
"116","08-008-0011","0","1"
"117","08-008-0014","0","1"
"118","08-009-0002","1","0"
"119","08-009-0004","0","1"
"120","08-009-0011","0","1"
"121","08-009-0016","1","1"
"122","08-009-0017","3","1"
"123","08-009-0018","0","1"
"124","08-009-0020","0","1"
"125","08-009-0024","0","1"
"126","08-009-0025","0","1"
"127","08-009-0026","0","1"
"128","08-011-0052","0","1"
"129","08-011-0062","0","1"
"130","08-011-0331","0","1"
"131","08-011-0532","0","1"
"132","08-011-0908","0","1"
"133","08-011-0928","0","1"
"134","08-011-1022","0","1"
"135","09-002-0168","0","1"
"136","09-003-0062","0","1"
"137","09-005-0003","0","1"
"138","09-006-0001","0","1"
"139","09-006-0002","0","1"
"140","09-006-0004","0","1"
"141","09-007-0001","0","1"
"142","09-008-0005","0","1"
"143","09-008-0007","0","1"
"144","09-008-0008","0","1"
"145","09-008-0011","1","1"
"146","09-008-0012","0","1"
"147","09-008-0019","1","0"
"148","09-008-0020","0","1"
"149","09-008-0021","1","1"
"150","09-008-0027","2","0"
"151","09-008-0029","1","0"
"152","09-009-0001","0","1"
"153","09-010-0001","0","1"
"154","09-010-0005","0","1"
"155","09-010-0009","0","1"
"156","09-010-0013","0","1"
"157","09-010-0018","1","0"
"158","09-010-0021","0","1"
"159","09-010-0026","0","1"
"160","09-010-0028","0","1"
"161","09-011-0034","0","1"
"162","09-011-0242","0","1"
"163","09-011-0538","0","1"
"164","09-011-0587","0","1"
"165","09-011-0627","0","1"
"166","10-002-0044","0","1"
"167","10-003-0424","0","1"
"168","10-003-0840","0","1"
"169","10-003-1048","0","1"
"170","10-003-1374","0","1"
"171","10-005-0001","0","1"
"172","10-005-0002","0","1"
"173","10-005-0003","0","1"
"174","10-005-0005","0","1"
"175","10-005-0008","0","1"
"176","10-005-0013","1","1"
"177","10-005-0015","2","0"
"178","10-005-0019","1","1"
"179","10-005-0020","0","1"
"180","10-005-0021","0","1"
"181","10-008-0001","0","1"
"182","10-008-0003","0","1"
"183","10-008-0008","0","1"
"184","10-008-0010","0","1"
"185","10-008-0012","0","1"
"186","10-008-0015","0","1"
"187","10-008-0020","0","1"
"188","10-008-0021","0","1"
"189","10-008-0025","0","1"
"190","10-008-0026","0","1"
"191","10-008-0033","0","1"
"192","10-008-0034","0","1"
"193","10-008-0035","1","1"
"194","10-008-0037","1","0"
"195","10-009-0010","0","1"
"196","10-009-0014","1","1"
"197","10-009-0019","0","1"
"198","10-009-0025","1","1"
"199","10-009-0029","1","0"
"200","10-009-0030","0","1"
"201","10-009-0031","1","0"
"202","10-009-0032","0","1"
"203","10-010-0003","0","1"
"204","10-011-0116","0","1"
"205","10-011-0137","1","1"
"206","10-011-0181","1","0"
"207","10-011-0270","1","1"
"208","10-011-0301","0","1"
"209","10-011-0316","0","1"
"210","10-011-0350","0","1"
"211","10-011-0531","1","1"
"212","10-011-0570","0","1"
"213","11-001-0089","0","1"
"214","11-002-0068","1","0"
"215","11-002-0078","0","1"
"216","11-002-0082","0","1"
"217","11-002-0199","0","1"
"218","11-002-0342","0","1"
"219","11-003-1070","1","1"
"220","11-005-0002","0","1"
"221","11-005-0003","0","1"
"222","11-005-0004","0","1"
"223","11-005-0005","2","1"
"224","11-005-0012","0","1"
"225","11-006-0001","0","1"
"226","11-008-0003","0","1"
"227","11-008-0005","0","1"
"228","11-008-0006","0","1"
"229","11-010-0004","0","1"
"230","11-010-0007","0","1"
"231","11-010-0011","0","1"
"232","11-010-0016","1","1"
"233","11-010-0017","1","0"
"234","11-010-0018","1","1"
"235","11-010-0019","0","1"
"236","11-010-0021","0","1"
"237","11-010-0023","0","1"
"238","11-010-0030","0","1"
"239","11-011-0378","0","1"
"240","11-011-0566","0","1"
"241","11-011-0581","0","1"
"242","11-011-0678","2","1"
"243","11-011-0762","0","1"
"244","12-001-0069","0","1"
"245","12-001-0208","0","1"
"246","12-003-0277","0","1"
"247","12-003-0782","0","1"
"248","12-003-1635","0","1"
"249","12-003-1684","0","1"
"250","12-004-0084","0","1"
"251","12-004-0115","0","1"
"252","12-005-0001","0","1"
"253","12-006-0001","1","1"
"254","12-008-0002","0","1"
"255","12-008-0008","0","1"
"256","12-008-0010","0","1"
"257","12-008-0013","0","1"
"258","12-008-0015","0","1"
"259","12-008-0016","0","1"
"260","12-008-0023","0","1"
"261","12-008-0025","0","1"
"262","12-008-0026","0","1"
"263","12-008-0028","0","1"
"264","12-009-0002","0","1"
"265","12-009-0006","0","1"
"266","12-009-0008","0","1"
"267","12-009-0012","1","0"
"268","12-009-0015","1","0"
"269","12-009-0019","0","1"
"270","12-009-0026","1","1"
"271","12-009-0027","0","1"
"272","12-011-0037","0","1"
"273","12-011-0092","0","1"
"274","12-011-0147","0","1"
"275","12-011-0175","0","1"
"276","12-011-0180","0","1"
"277","12-011-0352","1","0"
"278","12-011-0776","4","0"
"279","12-011-0861","0","1"
"280","12-011-0905","0","1"
"281","12-011-0957","0","1"
"282","12-011-1009","0","1"
"283","12-011-1192","0","1"
"284","13-001-0041","0","1"
"285","13-001-0085","0","1"
"286","13-001-0109","0","1"
"287","13-001-0265","0","1"
"288","13-003-0256","0","1"
"289","13-003-0882","1","1"
"290","13-003-0941","0","1"
"291","13-003-1054","0","1"
"292","13-003-1374","0","1"
"293","13-003-1505","0","1"
"294","13-003-1577","1","1"
"295","13-004-0021","0","1"
"296","13-004-0154","0","1"
"297","13-005-0002","1","0"
"298","13-005-0003","0","1"
"299","13-005-0004","1","1"
"300","13-005-0013","0","1"
"301","13-005-0015","0","1"
"302","13-005-0017","0","1"
"303","13-005-0018","1","1"
"304","13-005-0020","0","1"
"305","13-006-0002","0","1"
"306","13-006-0003","0","1"
"307","13-006-0005","0","1"
"308","13-006-0006","0","1"
"309","13-006-0007","0","1"
"310","13-006-0009","0","1"
"311","13-006-0011","0","1"
"312","13-006-0012","0","1"
"313","13-006-0013","0","1"
"314","13-006-0015","0","1"
"315","13-006-0016","0","1"
"316","13-006-0018","0","1"
"317","13-006-0020","0","1"
"318","13-008-0003","0","1"
"319","13-008-0006","0","1"
"320","13-008-0011","1","1"
"321","13-008-0013","2","1"
"322","13-008-0014","0","1"
"323","13-008-0016","0","1"
"324","13-008-0025","0","1"
"325","13-008-0027","0","1"
"326","13-008-0029","0","1"
"327","13-008-0031","0","1"
"328","13-008-0032","0","1"
"329","13-010-0001","0","1"
"330","13-010-0003","0","1"
"331","13-010-0006","0","1"
"332","13-010-0009","0","1"
"333","13-010-0011","0","1"
"334","13-010-0013","0","1"
"335","13-010-0014","0","1"
