"","Matricula","NC","C"
"1","02-001-0064","1","1"
"2","02-001-0200","0","1"
"3","02-001-0209","0","1"
"4","03-002-0488","0","1"
"5","03-003-0219","0","1"
"6","04-003-1135","0","1"
"7","04-003-1244","0","1"
"8","04-003-1529","0","1"
"9","04-003-1658","0","1"
"10","05-002-0012","1","0"
"11","05-003-2071","0","1"
"12","05-003-3233","0","1"
"13","05-005-2853","0","1"
"14","05-005-2855","2","1"
"15","05-005-2856","0","1"
"16","05-005-2858","0","1"
"17","05-005-3325","3","1"
"18","05-005-3346","0","1"
"19","05-005-3348","0","1"
"20","05-005-3388","0","1"
"21","05-005-3389","0","1"
"22","05-005-3390","0","1"
"23","05-006-2843","0","1"
"24","05-006-2844","1","0"
"25","05-006-2850","0","1"
"26","05-006-2852","0","1"
"27","05-006-2860","0","1"
"28","05-006-3355","0","1"
"29","05-006-3358","0","1"
"30","05-006-3359","0","1"
"31","05-006-3375","0","1"
"32","05-007-0001","0","1"
"33","05-007-0002","0","1"
"34","05-007-0006","0","1"
"35","05-007-0010","0","1"
"36","05-007-0018","0","1"
"37","05-008-0002","0","1"
"38","05-008-0005","0","1"
"39","05-008-0006","1","0"
"40","05-008-0010","0","1"
"41","05-008-0011","1","0"
"42","05-008-0013","0","1"
"43","05-008-0015","0","1"
"44","05-009-0001","0","1"
"45","05-009-0005","0","1"
"46","05-009-0006","2","1"
"47","05-009-0007","0","1"
"48","05-009-0011","1","1"
"49","05-009-0012","0","1"
"50","05-009-0013","0","1"
"51","05-009-0014","0","1"
"52","05-009-0017","0","1"
"53","05-009-0018","0","1"
"54","05-009-0019","0","1"
"55","05-009-0021","0","1"
"56","06-003-0645","1","1"
"57","06-003-0950","0","1"
"58","06-003-1711","1","0"
"59","06-003-1850","0","1"
"60","06-003-2649","0","1"
"61","06-005-0004","0","1"
"62","06-005-0006","0","1"
"63","06-006-0003","0","1"
"64","06-007-0003","1","0"
"65","06-008-0003","0","1"
"66","06-008-0004","0","1"
"67","06-008-0006","0","1"
"68","06-008-0007","0","1"
"69","06-008-0011","0","1"
"70","06-008-0015","0","1"
"71","07-006-0001","0","1"
"72","07-006-0004","0","1"
"73","07-006-0005","0","1"
"74","07-006-0006","0","1"
"75","07-006-0007","0","1"
"76","07-007-0004","1","0"
"77","07-007-0005","1","0"
"78","07-008-0001","0","1"
"79","07-008-0003","0","1"
"80","07-008-0005","1","0"
"81","07-008-0006","0","1"
"82","07-008-0009","0","1"
"83","07-008-0010","0","1"
"84","07-008-0011","0","1"
"85","07-008-0014","0","1"
"86","07-008-0015","0","1"
"87","07-009-0001","0","1"
"88","07-009-0003","2","0"
"89","07-010-0002","0","1"
"90","07-010-0003","1","0"
"91","07-010-0004","1","0"
"92","07-010-0008","0","1"
"93","07-010-0009","0","1"
"94","07-010-0011","0","1"
"95","07-010-0016","1","1"
"96","07-010-0018","0","1"
"97","07-010-0019","0","1"
"98","07-010-0020","0","1"
"99","07-010-0021","0","1"
"100","07-010-0022","1","1"
"101","07-010-0023","0","1"
"102","07-010-0025","0","1"
"103","07-011-0085","0","1"
"104","07-011-0375","0","1"
"105","07-011-0521","0","1"
"106","07-011-0523","0","1"
"107","07-011-0539","0","1"
"108","07-011-0662","0","1"
"109","07-011-0906","1","1"
"110","07-011-0923","2","0"
"111","08-003-0842","0","1"
"112","08-003-1348","1","0"
"113","08-005-0007","1","0"
"114","08-005-0013","1","0"
"115","08-006-0001","0","1"
"116","08-006-0003","1","0"
"117","08-006-0004","0","1"
"118","08-006-0005","0","1"
"119","08-006-0006","0","1"
"120","08-006-0007","0","1"
"121","08-006-0008","0","1"
"122","08-006-0009","0","1"
"123","08-006-0011","0","1"
"124","08-007-0002","0","1"
"125","08-008-0001","2","0"
"126","08-008-0002","1","1"
"127","08-008-0003","0","1"
"128","08-008-0004","0","1"
"129","08-008-0006","0","1"
"130","08-008-0008","0","1"
"131","08-008-0009","0","1"
"132","08-008-0010","1","1"
"133","08-008-0011","0","1"
"134","08-008-0012","0","1"
"135","08-008-0014","0","1"
"136","08-009-0001","0","1"
"137","08-009-0002","0","1"
"138","08-009-0004","0","1"
"139","08-009-0008","0","1"
"140","08-009-0011","0","1"
"141","08-009-0016","0","1"
"142","08-009-0017","0","1"
"143","08-009-0018","0","1"
"144","08-009-0019","0","1"
"145","08-009-0020","0","1"
"146","08-009-0023","1","0"
"147","08-009-0024","0","1"
"148","08-009-0025","1","1"
"149","08-009-0026","0","1"
"150","08-011-0052","0","1"
"151","08-011-0062","0","1"
"152","08-011-0331","0","1"
"153","08-011-0532","0","1"
"154","08-011-0908","0","1"
"155","08-011-0928","1","1"
"156","08-011-1022","0","1"
"157","09-003-0062","0","1"
"158","09-005-0001","0","1"
"159","09-005-0003","0","1"
"160","09-006-0001","1","1"
"161","09-006-0002","0","1"
"162","09-006-0004","0","1"
"163","09-007-0001","0","1"
"164","09-007-0004","0","1"
"165","09-007-0005","0","1"
"166","09-008-0003","1","0"
"167","09-008-0005","0","1"
"168","09-008-0007","0","1"
"169","09-008-0008","0","1"
"170","09-008-0011","1","1"
"171","09-008-0012","0","1"
"172","09-008-0018","1","0"
