"","Matricula","NC","C"
"1","01-000-0257","1","0"
"2","02-001-0064","0","1"
"3","02-001-0200","0","1"
"4","02-001-0209","0","1"
"5","03-003-0219","0","1"
"6","03-003-0550","0","1"
"7","04-003-1135","0","1"
"8","04-003-1244","0","1"
"9","04-003-1529","0","1"
"10","04-003-1658","0","1"
"11","05-002-0012","1","0"
"12","05-003-2071","0","1"
"13","05-003-2140","0","1"
"14","05-003-3233","0","1"
"15","05-005-2853","0","1"
"16","05-005-2856","0","1"
"17","05-005-2858","0","1"
"18","05-005-3325","2","1"
"19","05-005-3346","0","1"
"20","05-005-3388","0","1"
"21","05-005-3389","0","1"
"22","05-005-3390","0","1"
"23","05-006-2843","0","1"
"24","05-006-2850","0","1"
"25","05-006-2852","0","1"
"26","05-006-2860","0","1"
"27","05-006-3355","0","1"
"28","05-006-3358","0","1"
"29","05-006-3359","0","1"
"30","05-006-3375","0","1"
"31","05-007-0001","0","1"
"32","05-007-0006","0","1"
"33","05-007-0010","0","1"
"34","05-007-0018","0","1"
"35","05-008-0002","0","1"
"36","05-008-0005","0","1"
"37","05-008-0010","0","1"
"38","05-008-0011","1","0"
"39","05-008-0013","0","1"
"40","05-008-0015","0","1"
"41","05-009-0001","0","1"
"42","05-009-0005","0","1"
"43","05-009-0006","0","1"
"44","05-009-0007","0","1"
"45","05-009-0011","0","1"
"46","05-009-0013","0","1"
"47","05-009-0014","0","1"
"48","05-009-0017","0","1"
"49","05-009-0018","0","1"
"50","05-009-0019","0","1"
"51","05-009-0021","0","1"
"52","06-003-0645","1","1"
"53","06-003-0950","0","1"
"54","06-003-2649","0","1"
"55","06-005-0004","0","1"
"56","06-005-0006","0","1"
"57","06-006-0003","0","1"
"58","06-007-0001","0","1"
"59","06-007-0003","0","1"
"60","06-008-0003","0","1"
"61","06-008-0004","0","1"
"62","06-008-0006","0","1"
"63","06-008-0007","0","1"
"64","06-008-0011","0","1"
"65","06-008-0015","0","1"
"66","06-008-0017","1","0"
"67","07-006-0001","0","1"
"68","07-006-0004","0","1"
"69","07-006-0005","0","1"
"70","07-006-0006","0","1"
"71","07-006-0007","0","1"
"72","07-008-0001","0","1"
"73","07-008-0003","0","1"
"74","07-008-0006","0","1"
"75","07-008-0010","0","1"
"76","07-008-0014","0","1"
"77","07-008-0015","0","1"
"78","07-009-0001","0","1"
"79","07-009-0003","0","1"
"80","07-010-0003","0","1"
"81","07-010-0004","1","0"
"82","07-010-0008","0","1"
"83","07-010-0009","1","1"
"84","07-010-0011","0","1"
"85","07-010-0016","0","1"
"86","07-010-0018","0","1"
"87","07-010-0019","0","1"
"88","07-010-0021","1","1"
"89","07-010-0022","0","1"
"90","07-010-0023","0","1"
"91","07-011-0085","0","1"
"92","07-011-0523","0","1"
"93","07-011-0539","0","1"
"94","07-011-0662","0","1"
"95","07-011-0906","6","1"
"96","07-011-0923","0","1"
"97","08-003-0842","0","1"
"98","08-006-0001","0","1"
"99","08-006-0005","0","1"
"100","08-006-0006","0","1"
"101","08-006-0007","0","1"
"102","08-006-0008","0","1"
"103","08-006-0009","0","1"
