"","Matricula","NC","C"
"1","07-011-0662","0","1"
"2","08-011-0052","0","1"
"3","08-011-0331","1","0"
"4","08-011-0632","1","0"
"5","10-003-1048","1","1"
"6","12-003-1259","0","1"
"7","12-011-0092","0","1"
"8","12-011-0998","0","1"
"9","13-011-0075","0","1"
"10","13-011-0661","1","0"
"11","13-011-0877","0","1"
"12","13-011-0954","0","1"
"13","13-011-0999","1","0"
"14","14-011-0044","0","1"
"15","15-011-0951","0","1"
"16","16-003-1378","0","1"
"17","16-011-0126","0","1"
"18","16-011-0521","1","0"
"19","18-011-0927","0","1"
"20","18-011-1218","0","1"
"21","19-011-0760","0","1"
"22","20-011-0052","1","0"
"23","20-011-0100","0","1"
"24","20-011-0498","0","1"
"25","20-011-0579","0","1"
