"","Matricula","NC","C"
"1","08-011-0331","0","1"
"2","11-002-0342","2","1"
"3","11-010-0001","0","1"
"4","11-010-0003","1","0"
"5","11-010-0004","0","1"
"6","11-010-0006","0","1"
"7","11-010-0007","0","1"
"8","11-010-0009","0","1"
"9","11-010-0010","0","1"
"10","11-010-0011","1","0"
"11","11-010-0013","1","0"
"12","11-010-0014","1","0"
"13","11-010-0017","0","1"
"14","11-010-0018","0","1"
"15","11-010-0019","0","1"
"16","11-010-0021","0","1"
"17","11-010-0023","0","1"
"18","11-010-0024","0","1"
"19","16-001-0237","0","1"
