"","Matricula","NC","C"
"1","01-000-0257","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","0","1"
"4","03-003-0407","1","0"
"5","04-003-1658","1","0"
"6","06-003-0950","0","1"
"7","07-011-0906","0","1"
"8","08-001-0054","0","1"
"9","08-007-0002","0","1"
"10","08-011-0043","0","1"
"11","08-011-0116","0","1"
"12","08-011-0632","0","1"
"13","08-011-0928","2","0"
"14","08-011-1022","0","1"
"15","08-011-1036","0","1"
"16","09-002-0244","1","0"
"17","09-008-0005","0","1"
"18","09-011-0034","2","1"
"19","09-011-0587","0","1"
"20","09-011-0626","1","1"
"21","10-011-0375","0","1"
"22","11-002-0078","1","0"
"23","11-003-0102","0","1"
"24","11-011-0566","0","1"
"25","12-008-0008","0","1"
"26","12-008-0010","1","0"
"27","12-011-0399","0","1"
"28","13-004-0154","0","1"
"29","18-011-0027","1","0"
