"","Materia","ProbCert1a","NumMaxIntentosNuncaCert","IntentosPromNuncaCert","MedianaIntentosNuncaCert","ProbNoCertNunca","NumMaxIntentosSiCert","IntentosPromedioSiCert","MedianaIntentosSiCert"
"1","ACTORES SOCIALES MOVIMIENTOS SOCIALES Y SOCIEDAD CIVIL","0.333333333333333","1","1","1","0.333333333333333","1","1","1"
"2","ACTORES SOCIALES MOVIMIENTOS SOCIALES Y SOCIEDAD CIVIL. APORTES TEORICOS","0.8","1","1","1","0.2","-Inf","NaN",NA
"3","ACTORES SOCIALES Y PARTICIPACION EN LA CIUDAD DE MEXICO","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"4","ADMINISTRACION DE LA CIUDAD DE MEXICO","0.75","1","1","1","0.25","-Inf","NaN",NA
"5","ANALISIS CULTURAL","0.666666666666667","2","2","2","0.333333333333333","-Inf","NaN",NA
"6","ANALISIS DE POLITICAS PUBLICAS","0.666666666666667","1","1","1","0.166666666666667","1","1","1"
"7","ANALISIS POLITICO (CON METODOS CUANTITATIVOS)","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"8","ANALISIS POLITICO CON METODOS CUALITATIVOS","0.8","-Inf","NaN",NA,"0","1","1","1"
"9","ANALISIS POLITICO CON METODOS CUANTITATIVOS","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"10","ANALISIS POLITICO DE COYUNTURA","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"11","ANTROPOLOGIA JURIDICA","0.576923076923077","3","1.5","1","0.307692307692308","2","1.33333333333333","1"
"12","ARGUMENTACION JURIDICA","0.512820512820513","4","1.57142857142857","1","0.358974358974359","2","1.2","1"
"13","BIENES Y SUCESIONES","0.7","2","1.18181818181818","1","0.275","1","1","1"
"14","CALCULO DIFERENCIAL E INTEGRAL","0","2","2","2","1","-Inf","NaN",NA
"15","CIUDADANIA PARTICIPACION Y REPRESENTACION EN LOS SISTEMAS POLITICOS APORTES TEORICOS","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"16","CIUDADANIA PARTICIPACION Y REPRESENTACION. APORTES TEORICOS","0.5","-Inf","NaN",NA,"0","1","1","1"
"17","CLINICA PROCESAL","0.875","1","1","1","0.09375","1","1","1"
"18","COMPUTACION I","0.5","1","1","1","0.5","-Inf","NaN",NA
"19","CONTRATOS","0.666666666666667","2","1.2","1","0.208333333333333","1","1","1"
"20","CULTURA CIENTIFICA Y HUMANISTICA I","0.285714285714286","5","2","1.5","0.571428571428571","2","1.33333333333333","1"
"21","CULTURA CIENTIFICA Y HUMANISTICA II","0.666666666666667","2","1.33333333333333","1","0.2","4","3.5","3.5"
"22","CULTURA CIENTIFICA Y HUMANISTICA III","0.352941176470588","4","1.4375","1","0.470588235294118","3","1.83333333333333","2"
"23","CULTURA Y SOCIEDAD","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"24","DECISION POLITICA Y POLITICAS PUBLICAS","0.833333333333333","-Inf","NaN",NA,"0","1","1","1"
"25","DELIMITACIONES DEL OBJETO DE INVESTIGACION JURIDICA","0.575757575757576","2","1.24","1","0.378787878787879","1","1","1"
"26","DELITOS EN PARTICULAR","0.526315789473684","2","1.23076923076923","1","0.342105263157895","3","1.6","1"
"27","DEMOCRACIA Y AUTORITARISMO EN LAS SOCIEDADES LATINOAMERICANAS","1","-Inf","NaN",NA,"0","-Inf","NaN",NA
"28","DEMOCRACIA Y AUTORITARISMO EN LAS SOCIEDADES LATINOAMERICANAS CONTEMPORANEAS","0.5","-Inf","NaN",NA,"0","1","1","1"
"29","DERECHO ADMINISTRATIVO","0.742857142857143","3","1.33333333333333","1","0.171428571428571","1","1","1"
"30","DERECHO AGRARIO","0.863636363636364","1","1","1","0.136363636363636","-Inf","NaN",NA
"31","DERECHO AMBIENTAL","0.827586206896552","2","1.125","1","0.137931034482759","1","1","1"
"32","DERECHO CINE Y LITERATURA","0.5","1","1","1","0.5","-Inf","NaN",NA
"33","DERECHO CONSTITUCIONAL","0.52","2","1.23529411764706","1","0.34","1","1","1"
"34","DERECHO DE AMPARO","0.627118644067797","3","1.17647058823529","1","0.288135593220339","3","1.4","1"
"35","DERECHO FISCAL","0.451612903225806","3","1.53333333333333","1","0.241935483870968","3","1.31578947368421","1"
"36","DERECHO INDIGENA","0.5","3","1.38461538461538","1","0.295454545454545","1","1","1"
"37","DERECHO INTERNACIONAL DE LOS DERECHOS HUMANOS","0.785714285714286","1","1","1","0.142857142857143","1","1","1"
"38","DERECHO INTERNACIONAL PRIVADO","0.558441558441558","2","1.26086956521739","1","0.298701298701299","2","1.18181818181818","1"
